,Category Rank,Athlete,Country Code,Country Code.1,Country or State Code,18m-1,18m-1.1,18m-2,18m-2.1,Score,10,9,Unnamed: 12,Unnamed: 13,Event,Division,Class
371,36,BOULTON Hallie,,872,B of Pendle & Samlesbury,272,44,284,17,556,20,36,,,CW,C,W
372,37,BODE Amy,,872,B of Pendle & Samlesbury,279,29,276,40,555,18,39,,,CW,C,W
373,38,A'BEAR Chloe,,1246,Deer Park A Ltd,280,24,274,43,554,18,38,,,CW,C,W
374,39,SAMBRIDGE Marion,,1845,Silver Arrow A,274,41,280,28,554,17,40,,,CW,C,W
375,40,GALES Andrea,,246,Woking A.C.,274,41,279,30,553,15,43,,,CW,C,W
376,41,BYRNE Sinead,,1297,Ballyvally A Banbridge,274,40,277,39,551,16,39,,,CW,C,W
377,42,MIDROUILLET Cecile,,357,Ashford A,274,39,273,45,547,16,37,,,CW,C,W
378,43,WILLIAMS Amelia,,1246,Deer Park A Ltd,268,48,279,30,547,15,39,,,CW,C,W
379,44,WILSON Amanda,,1800,B of St Mary's,275,37,272,47,547,12,43,,,CW,C,W
380,45,AUBREY Wendy,,872,B of Pendle & Samlesbury,271,45,273,44,544,15,35,,,CW,C,W
381,46,JONES Paige,,2123,Belvoir A,274,41,269,49,543,9,45,,,CW,C,W
382,47,HARRIS Sheila,,692,Redhill A,269,47,273,46,542,9,45,,,CW,C,W
383,48,TROUT Sarah,,697,Evesham AC,262,53,274,42,536,11,43,,,CW,C,W
384,49,SPACKMAN Lucy,,521,Reading A,271,46,264,50,535,8,41,,,CW,C,W
385,50,REECE Tracy,,72,Llandaff City B,265,51,269,48,534,8,40,,,CW,C,W
386,51,PREECE Rosemary,,1246,Deer Park A Ltd,262,54,264,51,526,6,37,,,CW,C,W
387,52,LANE Kelly,,791,Wilford Bowmen (Notts),267,49,256,53,523,11,30,,,CW,C,W
388,53,MCINTOSH Katrina,,333,Swan A,265,50,257,52,522,13,31,,,CW,C,W
389,54,BROWN Jill,,1013,Leicester Ancient Order of For,265,52,247,57,512,5,43,,,CW,C,W
390,55,WENCH Makayla,,2081,Banbury Cross A,253,56,256,55,509,5,31,,,CW,C,W
391,56,HALLIDAY-NODEN Rhona,,2327,Gronant B,254,55,253,56,507,9,32,,,CW,C,W
392,57,MCCUTCHEN Kate,,2663,Archery Fit London,250,57,256,54,506,4,31,,,CW,C,W
393,58,HALLIDAY-NODEN Rhona,,2327,Gronant B,248,58,246,58,494,6,29,,,CW,C,W
394,59,MOULE Jennifer,,2663,Archery Fit London,207,59,242,59,449,7,16,,,CW,C,W
395,1,HAGON Luke,,337,Leaves Green B,235,1,231,1,466,9,10,,,LM,L,M
396,2,NEWNES Alex,,1759,Aber A (Uni),211,2,221,3,432,5,10,,,LM,L,M
397,3,TWIGG Rob,,660,Exmouth A,196,4,221,2,417,6,7,,,LM,L,M
398,4,STOWELL Ian,,2343,The Longbow Club,196,5,221,4,417,4,12,,,LM,L,M
399,5,LEDWICK Ben,,2571,Eagle Bowman of Bedford,179,7,210,5,389,4,9,,,LM,L,M
400,6,WILLCOX Norman,,1654,Blandy Jenkins A,179,6,203,6,382,2,9,,,LM,L,M
401,7,WILLIAMS Scott,,660,Exmouth A,196,3,175,8,371,6,7,,,LM,L,M
402,8,PRATT Simon,,333,Swan A,164,8,185,7,349,2,10,,,LM,L,M
403,9,MAHER Tony,,472,Oakfield A,124,11,152,9,276,2,3,,,LM,L,M
404,10,GOODWIN Mark,,295,Hampstead B,137,9,128,11,265,1,3,,,LM,L,M
405,11,ANDERSON David,,780,Bowbrook A,135,10,103,13,238,0,4,,,LM,L,M
406,12,GROSVENOR Paul,,2663,Archery Fit London,116,12,111,12,227,2,3,,,LM,L,M
407,13,BARHAM Joe,,AGB,Archery GB,96,13,128,10,224,2,0,,,LM,L,M
408,14,SINGER Adam,,AGB,Archery GB,77,14,87,15,164,1,0,,,LM,L,M
409,15,BROWNE Andrew,,443,Cambridge Uni B,54,16,96,14,150,1,3,,,LM,L,M
410,16,TODD Glenn,,AGB,Archery GB,75,15,55,16,130,1,0,,,LM,L,M
411,1,HUDSON Sheila,,810,White Rose A,228,1,235,1,463,8,17,,,LW,L,W
412,2,TWIGG Sophie,,660,Exmouth A,201,2,195,2,396,4,10,,,LW,L,W
413,3,NIRKKO Jessica,,203,Edinburgh Uni A.C. Students,155,3,151,3,306,3,4,,,LW,L,W
414,4,WATSON Mary,,2627,Peacock A,144,4,137,6,281,1,8,,,LW,L,W
415,5,HUBBARD Sarah,,2296,Wymondham A,134,5,144,4,278,1,3,,,LW,L,W
416,6,DUTHIE Beth,,1759,Aber A (Uni),133,6,139,5,272,4,5,,,LW,L,W
417,7,DUNCAN Rebecca,,2663,Archery Fit London,121,7,106,7,227,1,2,,,LW,L,W
418,8,DUTTON Lesley,,337,Leaves Green B,104,8,96,8,200,2,3,,,LW,L,W
419,9,KING Emma,,1077,Uni of Plymouth,90,9,88,9,178,2,1,,,LW,L,W
420,10,DOLGILEVICA Kristina,,2663,Archery Fit London,33,10,66,10,99,0,1,,,LW,L,W
