,Category Rank,Athlete,Country Code,Country Code.1,Country or State Code,18m-1,18m-1.1,18m-2,18m-2.1,Score,10,9,Event,Division,Class,Unnamed: 12
55,56,PHILLIPS David,,79,Llantarnam Archery Club,271,46,262,63,533,22,22,RM,R,M,
56,57,JONES Edwin,,1322,Lethen Archers,264,65,269,51,533,17,25,RM,R,M,
57,58,QUINN Stephen,,1595,Chiltern Archers,261,73,269,52,530,17,22,RM,R,M,
58,59,LAPUZ Jason,,371,The Hertford C of A,264,64,265,60,529,19,19,RM,R,M,
59,60,CHALMERS Alexander,,893,The Gentleman & Lady Archers,273,42,255,81,528,19,24,RM,R,M,
60,61,ANDRIEUX Guillaume,,2644,Glasgow Uni Archery Club,262,70,266,56,528,19,22,RM,R,M,
61,62,BECK Paul,,2627,Peacock Archers,267,56,261,66,528,18,20,RM,R,M,
62,63,HURSHAM Ian,,464,West Essex Bowmen,267,56,261,69,528,16,23,RM,R,M,
63,64,TSANG Gavin,,1373,The Swansea University,265,62,263,62,528,13,24,RM,R,M,
64,65,JUNIPER Kevin,,478,Grays Archers,264,63,262,65,526,15,26,RM,R,M,
65,66,CLAMPIN Ian,,464,West Essex Bowmen,265,61,259,72,524,20,19,RM,R,M,
66,67,COATES David,,817,Selby Archers,262,68,261,68,523,19,18,RM,R,M,
67,68,STEPHENSON Oliver,,1017,Bowmen of Rutland,258,79,262,64,520,15,20,RM,R,M,
68,69,HIGGINS Chris,,459,Chelmsford Tudor Rose,256,88,263,61,519,13,25,RM,R,M,
69,70,DRAPER Peter,,1718,Wyke Archers,261,74,258,75,519,12,24,RM,R,M,
70,71,DANCE Trevor,,660,Exmouth Archers,263,67,254,88,517,15,25,RM,R,M,
71,72,TRUDGILL Ben,,1014,Kirby Muxloe AC,257,85,260,71,517,10,24,RM,R,M,
72,73,HANWRIGHT Stephen,,102,RAF Lossiemouth Archery Club,260,77,256,78,516,17,23,RM,R,M,
73,74,THOMPSON Daniel,,938,Bowmen of Bruntwood,257,82,257,76,514,16,23,RM,R,M,
74,75,DONALDSON Gary,,907,Cleadon Archers,248,98,266,58,514,12,28,RM,R,M,
75,76,COOPER Chris,,1010,Loughborough Students AC (Uni),256,87,258,74,514,11,27,RM,R,M,
76,77,LEDWICK Hayden,,2571,Eagle Bowman of Bedford,258,80,255,84,513,12,26,RM,R,M,
77,78,TAYLOR James Alexander,,903,Killingworth Archers,258,81,255,83,513,12,19,RM,R,M,
78,79,LYCZKO Adam,,907,Cleadon Archers,257,84,255,84,512,13,27,RM,R,M,
79,80,HORNE Stephen,,458,Mayflower Archers,262,71,250,92,512,13,20,RM,R,M,
80,81,MEDHURST Charlie,,692,Redhill Archers,256,86,256,80,512,12,26,RM,R,M,
81,81,THOMAS Sam,,942,Wirral Archers,263,66,249,94,512,12,26,RM,R,M,
82,83,OAKLEY Thomas,,844,Bowmen of Adel,255,90,256,77,511,13,21,RM,R,M,
83,84,HOWARD Matthew,,532,Clophill Archery Club,256,89,255,86,511,10,24,RM,R,M,
84,85,BRUCE John,,277,King's Lynn Bowmen,267,58,242,102,509,19,17,RM,R,M,
85,86,DAY Jon,,668,Bowmen of the Tors,254,91,255,86,509,14,23,RM,R,M,
86,87,JOBSON Paul,,2627,Peacock Archers,252,95,255,82,507,16,23,RM,R,M,
87,88,TEBBS Carl,,529,Kestrels AC,259,78,247,95,506,13,19,RM,R,M,
88,89,MACEY Kieran,,1246,Deer Park Archers Ltd,261,76,245,99,506,7,25,RM,R,M,
89,90,BROWN Matthew,,414,Old Basing Archers,253,92,252,90,505,15,13,RM,R,M,
90,91,HINCKLEY Phil,,312,Crystal Palace Bowmen,244,103,258,73,502,19,10,RM,R,M,
91,92,ORD Chris,,2635,Kyujutsu Archery Club,261,75,241,105,502,13,19,RM,R,M,
92,93,DAY Leslie,,1141,Thirsk Bowmen,241,108,261,70,502,9,26,RM,R,M,
93,94,PURSER Alexander,,458,Mayflower Archers,262,69,239,113,501,17,15,RM,R,M,
94,95,CARPENTER Graeme,,465,Tudor Archers,245,102,256,79,501,12,18,RM,R,M,
95,96,SIMPSON Colin,,515,Bowmen of Warfield,235,115,265,59,500,16,12,RM,R,M,
96,97,HARDING Phil,,260,Farnham Archers,257,83,240,108,497,15,16,RM,R,M,
97,98,DOCHERTY John,,2362,RAF Waddington Archery Club,251,97,245,98,496,10,23,RM,R,M,
98,99,SANCHEZ POMBROL Daniel,,2627,Peacock Archers,253,93,243,101,496,8,23,RM,R,M,
99,100,SMITTON Daniel,,374,The Green Dragon Bowmen,241,107,254,89,495,14,17,RM,R,M,
100,101,BARWOOD Devon,,881,Eccles Archery Club,242,106,252,90,494,11,15,RM,R,M,
101,102,WRIGHT Luca,,428,Alton & Four Marks,267,59,226,121,493,14,20,RM,R,M,
102,103,HADFIELD Leigh,,921,Winnington Park Bowmen,253,94,236,115,489,5,23,RM,R,M,
103,104,DIEP Jamie,,2373,University of Bristol Archery,244,104,241,107,485,11,20,RM,R,M,
104,105,NEWMAN Harry,,1010,Loughborough Students AC (Uni),234,117,250,92,484,10,16,RM,R,M,
105,106,COWLISHAW Nick,,548,Yeo Bowmen,243,105,240,111,483,9,22,RM,R,M,
106,107,HUNT Peter,,1017,Bowmen of Rutland,239,109,241,106,480,12,18,RM,R,M,
107,108,HODGSON-BATES Chris,,684,Wyre Forest Company of Archers,246,100,232,119,478,9,19,RM,R,M,
108,109,FITZPATRICK Seamus,,2201,East Belfast Archery Club,233,118,244,100,477,4,20,RM,R,M,
109,110,COSTANZA Marco,,569,Cleve Juniors,235,113,240,109,475,15,21,RM,R,M,
110,111,WILLIAMS Connor,,1380,University of Exeter,235,114,240,109,475,11,18,RM,R,M,
111,112,BOWER David,,548,Yeo Bowmen,229,120,246,97,475,7,21,RM,R,M,
112,113,KENT Mark,,564,Black & Gold Archers,251,96,221,126,472,14,15,RM,R,M,
113,114,BOBAT Adam,,1772,Leicester Archery Academy,224,123,247,96,471,10,11,RM,R,M,
114,115,SULLIVAN Martin,,2627,Peacock Archers,237,111,233,118,470,6,20,RM,R,M,
115,116,CLARK Andrew,,2595,Wallingford Castle Archers,227,121,242,103,469,16,18,RM,R,M,
116,117,NEWTON Sam,,993,Silver Spoon Bowmen,248,99,221,127,469,10,15,RM,R,M,
117,118,COE Daniel,,1666,Ely Archers,236,112,233,117,469,9,19,RM,R,M,
118,119,BUTLER Matthew,,1373,The Swansea University,231,119,236,114,467,10,16,RM,R,M,
119,120,RADIGAN Cameron,,1565,Largs Junior,223,124,240,112,463,3,18,RM,R,M,
120,121,BROWNE Kevin,,564,Black & Gold Archers,237,110,216,128,453,7,11,RM,R,M,
121,122,HENFREY Callum,,268,Oxford Uni Company of Archers,216,127,235,116,451,3,22,RM,R,M,
122,123,HARRIS Max,,2627,Peacock Archers,217,126,224,125,441,5,12,RM,R,M,
123,124,PARTINGTON Garry,,871,Rochdale Company of Archers,225,122,215,130,440,5,15,RM,R,M,
124,125,GOH Lim,,2663,Archery Fit London,207,132,230,120,437,7,13,RM,R,M,
125,126,CHERRIE Craig,,260,Farnham Archers,212,129,224,124,436,7,10,RM,R,M,
126,127,EVEREST Daniel,,1779,Raydon Hall Archery Club,201,135,226,122,427,8,12,RM,R,M,
127,128,NIBLETT Lee,,564,Black & Gold Archers,214,128,210,131,424,8,14,RM,R,M,
128,129,BARLOW Rupert,,AGBCAM,Archery GB,176,143,242,104,418,9,12,RM,R,M,
129,130,BURGESS Richard,,483,Braintree Bowmen,210,130,207,132,417,8,12,RM,R,M,
130,131,STAPLES Anthony,,102,RAF Lossiemouth Archery Club,201,134,215,129,416,8,12,RM,R,M,
131,132,CRAWFORD Christopher,,AGBGLO,Archery GB,220,125,187,137,407,6,12,RM,R,M,
132,133,MORETON Jason,,2362,RAF Waddington Archery Club,177,141,226,123,403,6,12,RM,R,M,
133,134,RALSTON Jonathan,,1565,Largs Junior,234,116,167,141,401,10,10,RM,R,M,
134,135,TANG-RICHARDSON Mel,,2627,Peacock Archers,195,137,199,133,394,10,12,RM,R,M,
