,Category Rank,Athlete,Country Code,Country Code.1,Country or State Code,18m-1,18m-1.1,18m-2,18m-2.1,Score,10,9,Event,Division,Class,Unnamed: 12
275,50,CORNFORD James,,919,New Century Bowmen,281,53,283,44,564,24,36,CM,C,M,
276,50,LANE Thomas,,971,Wilford Bowmen (Notts),283,44,281,55,564,24,36,CM,C,M,
277,52,CLIFFORD Andy,,1246,Deer Park Archers Ltd,283,41,280,59,563,27,29,CM,C,M,
278,53,LANE Nigel,,971,Wilford Bowmen (Notts),284,38,278,65,562,24,34,CM,C,M,
279,53,WRIGHT Liam,,AGBLIN,Archery GB,282,46,280,59,562,24,34,CM,C,M,
280,55,WILSON Scott,,1800,Bowmen of St Mary's,281,53,281,52,562,23,36,CM,C,M,
281,56,GOULD Steve,,2356,Dark Side Archers,280,55,281,55,561,24,34,CM,C,M,
282,57,RIDDING Dru,,2411,Millom Archers,280,57,281,52,561,22,37,CM,C,M,
283,58,BECKETT James,,780,Bowbrook Archers,285,32,275,76,560,29,30,CM,C,M,
284,59,KELLY Jack,,441,City of Cambridge Bowmen,276,77,284,38,560,21,38,CM,C,M,
285,60,ALLEN Daniel,,229,Chichester Bowmen,282,48,278,68,560,20,40,CM,C,M,
286,60,MARTEL David,,694,Malvern Archers,279,64,281,55,560,20,40,CM,C,M,
287,62,CASSIDY Kevin,,421,Forest of Bere Bowmen,277,74,282,51,559,19,41,CM,C,M,
288,63,HAMER Malcolm,,942,Wirral Archers,278,67,280,61,558,19,40,CM,C,M,
289,63,THORNTON William,,1040,Anchor Bowmen Archery Club,280,57,278,65,558,19,40,CM,C,M,
290,65,TEBBS Bradley,,529,Kestrels AC,280,57,278,68,558,18,42,CM,C,M,
291,66,SCOTT Alex,,2571,Eagle Bowman of Bedford,279,63,277,73,556,18,40,CM,C,M,
292,67,HENRY Michael,,35,City Of Belfast AC,276,77,280,61,556,17,42,CM,C,M,
293,68,WOOLCOTT Tim,,602,South Wilts AC,278,67,277,71,555,20,36,CM,C,M,
294,69,HYLAND Oliver,,1342,Bath University Archery Club,280,56,275,77,555,20,35,CM,C,M,
295,70,SHAW Joseph,,943,North Cheshire Bowmen,274,82,281,52,555,18,39,CM,C,M,
296,71,PADMORE Lee,,940,Bebington Archers,275,80,280,61,555,16,43,CM,C,M,
297,72,MINTER David,,421,Forest of Bere Bowmen,278,65,276,74,554,21,34,CM,C,M,
298,73,PATAK Zoltan,,2663,Archery Fit London,278,67,276,74,554,19,37,CM,C,M,
299,74,NASH David,,2663,Archery Fit London,272,86,282,49,554,18,38,CM,C,M,
300,75,MURPHY William,,75,Bowmen of Gower,277,72,277,72,554,17,40,CM,C,M,
301,76,HO Eddie,,908,Bowmen of Walker,275,79,278,65,553,16,42,CM,C,M,
302,77,NIGHTINGALE Andrew,,427,Andover Archers,279,62,273,80,552,21,31,CM,C,M,
303,78,CLARK Ian,,1800,Bowmen of St Mary's,277,72,273,81,550,15,41,CM,C,M,
304,79,STRONACH Paul,,1708,Gordano Valley Archers,271,89,278,64,549,17,36,CM,C,M,
305,80,BALL Zachary,,1035,Derwent Bowmen,276,76,272,83,548,15,38,CM,C,M,
306,81,SEWELL Tony,,465,Tudor Archers,274,81,274,78,548,14,42,CM,C,M,
307,82,POLLITT Andrew,,928,Neston Company of Archers,273,83,273,79,546,20,35,CM,C,M,
308,83,TIGER-SMITH Eugene,,2663,Archery Fit London,278,66,268,88,546,17,40,CM,C,M,
309,84,TURNER Thomas,,816,Sheffield University AC,277,71,269,86,546,14,38,CM,C,M,
310,85,PARKER Alex,,1246,Deer Park Archers Ltd,272,84,273,82,545,14,37,CM,C,M,
311,86,MITCHELL Lee,,AGBLON,Archery GB,271,88,271,84,542,13,40,CM,C,M,
312,87,GONCALVES Jose,,AGBSUR,Archery GB,277,74,264,93,541,13,44,CM,C,M,
313,88,LANGWELL Paul,,AGBLEI,Archery GB,271,87,269,87,540,11,38,CM,C,M,
314,89,MCCOLL Norman,,872,Bowmen of Pendle & Samlesbury,272,85,268,90,540,8,44,CM,C,M,
315,90,MORGAN Stuart,,2663,Archery Fit London,269,91,268,89,537,12,36,CM,C,M,
316,91,WALKER Ian,,780,Bowbrook Archers,268,92,265,92,533,16,39,CM,C,M,
317,92,WALKER Matthew,,1373,The Swansea University,268,93,264,94,532,11,33,CM,C,M,
318,93,HODGES Stuart,,548,Yeo Bowmen,265,95,267,91,532,5,43,CM,C,M,
319,94,CHALTON Harvey,,1625,Southampton Archery Club,259,100,269,85,528,17,27,CM,C,M,
320,95,HOOTON Jonathan,,2112,Aim4Sport,262,96,259,95,521,9,35,CM,C,M,
321,96,MCGILLIVRAY Christopher,,2663,Archery Fit London,269,90,251,101,520,10,29,CM,C,M,
322,97,WATTS Jasper,,2627,Peacock Archers,265,94,254,97,519,5,42,CM,C,M,
323,98,JAWARA Foday,,226,Crawley Archery Club,262,97,253,98,515,9,29,CM,C,M,
324,99,RIDDING Alfie,,2411,Millom Archers,258,101,255,96,513,5,33,CM,C,M,
325,100,KELLY Brian,,1187,Chase Archers,260,98,252,99,512,9,31,CM,C,M,
326,101,POYSER Dean,,1363,Burton Joyce Archers,260,99,252,100,512,5,38,CM,C,M,
327,102,BEECH Clive,,731,Meriden Archery Club,226,102,185,103,411,4,20,CM,C,M,
328,103,SUTHERLAND Daniel,,214,Worthing AC,180,103,192,102,372,2,15,CM,C,M,
329,1,GIBSON Ella,,1246,Deer Park Archers Ltd,292,1,297,1,589,49,11,CW,C,W,
330,2,PRIEELS Sarah,,1311,Edinburgh Uni AC Alumni,292,1,294,2,586,46,14,CW,C,W,
331,3,ANNISON Layla,,2296,Wymondham Archers,289,3,289,4,578,38,22,CW,C,W,
332,4,GREENWOOD Hope,,1311,Edinburgh Uni AC Alumni,286,9,291,3,577,37,23,CW,C,W,
333,5,CORLESS Susan,,984,Northampton Archery Club,289,3,287,7,576,36,24,CW,C,W,
334,6,PINE Phoebe,,1246,Deer Park Archers Ltd,289,3,286,10,575,35,25,CW,C,W,
335,7,MOON Sarah,,AGBDER,Archery GB,286,9,288,5,574,34,26,CW,C,W,
336,8,SARGEANT Bayley-Rose,,351,Canterbury Archers,287,6,286,10,573,33,27,CW,C,W,
337,9,CLARK Daisy,,459,Chelmsford Tudor Rose,285,11,287,7,572,32,28,CW,C,W,
338,10,LOADER Victoria,,1625,Southampton Archery Club,287,6,285,13,572,32,28,CW,C,W,
339,11,BRYAN Jenny,,1035,Derwent Bowmen,283,14,286,10,569,30,29,CW,C,W,
340,12,CARPENTER Isabelle,,831,Barnsley AC,285,11,284,16,569,30,29,CW,C,W,
341,13,CLIFFORD Holly,,1246,Deer Park Archers Ltd,284,13,285,13,569,29,31,CW,C,W,
342,14,PETRE Iulia,,979,Targetcraft Archers,281,22,287,6,568,29,30,CW,C,W,
343,15,FOSTER Elizabeth,,907,Cleadon Archers,287,6,281,23,568,28,32,CW,C,W,
344,16,NILSSON Jessica,,1311,Edinburgh Uni AC Alumni,281,22,286,9,567,29,29,CW,C,W,
345,17,BOULTON Hallie,,2713,Spinners Mill Archers,282,17,285,13,567,28,31,CW,C,W,
346,18,RUTLAND Anne,,684,Wyre Forest Company of Archers,283,15,283,19,566,27,32,CW,C,W,
347,19,GEDDES Robyn,,1322,Lethen Archers,282,20,283,20,565,25,35,CW,C,W,
348,20,CHAPPELL Grace,,1246,Deer Park Archers Ltd,280,25,284,18,564,25,34,CW,C,W,
349,21,CLASON Stephanie,,1311,Edinburgh Uni AC Alumni,282,17,282,22,564,25,34,CW,C,W,
350,22,MARTEL Elizabeth,,203,Edinburgh Uni AC (Students),280,26,284,16,564,25,34,CW,C,W,
351,23,ALMOND Nicole,,2114,Nottingham Trent Uni AC,283,15,281,23,564,24,36,CW,C,W,
352,24,DUNCAN Victoria,,731,Meriden Archery Club,282,17,281,23,563,24,35,CW,C,W,
353,25,BYRNE Sinead,,1297,Ballyvally Archers Banbridge,282,20,280,27,562,22,38,CW,C,W,
354,26,STRETTON Jessica,,1845,Silver Arrow Archers,280,26,281,23,561,21,39,CW,C,W,
355,27,BODE Amy,,872,Bowmen of Pendle & Samlesbury,278,30,280,27,558,20,38,CW,C,W,
356,28,SINNETT-SMITH Lydia,,441,City of Cambridge Bowmen,279,28,279,31,558,19,40,CW,C,W,
357,29,NIGHTINGALE Ruth,,427,Andover Archers,278,29,279,30,557,21,36,CW,C,W,
358,30,PRIOR Erin,,618,Supermarine Bowmen,281,22,276,34,557,21,35,CW,C,W,
359,31,ABRAHAM Kara,,203,Edinburgh Uni AC (Students),273,39,283,20,556,19,39,CW,C,W,
360,32,BROWN Jill,,1013,Leicester A.O.F.AC,274,38,280,27,554,18,39,CW,C,W,
361,33,FLANAGAN Victoria,,79,Llantarnam Archery Club,277,31,276,35,553,17,40,CW,C,W,
362,34,HALLIDAY-NODEN Rhona,,2327,Gronant Bowmen,275,35,277,33,552,20,33,CW,C,W,
363,35,ROBB Kirsty,,1261,Balbardie Archers,277,31,275,36,552,14,44,CW,C,W,
364,36,TROUT Sarah,,697,Evesham AC,275,36,275,37,550,13,44,CW,C,W,
365,37,A'BEAR Chloe,,1246,Deer Park Archers Ltd,277,31,272,39,549,14,42,CW,C,W,
366,38,SPINKS Abbie,,993,Silver Spoon Bowmen,273,40,273,38,546,12,42,CW,C,W,
367,39,WATTS Sonya,,942,Wirral Archers,277,31,268,45,545,14,37,CW,C,W,
368,40,DUNCANSON Pamela,,907,Cleadon Archers,275,37,270,43,545,11,44,CW,C,W,
369,41,MORO Elisabeth,,983,Wellingborough Open AC,272,42,270,41,542,13,40,CW,C,W,
370,42,DAVIDSON Amanda,,995,Lincoln Archers,271,45,271,40,542,10,43,CW,C,W,
371,43,HUGHES Catherine,,1380,University of Exeter,272,43,268,44,540,12,38,CW,C,W,
372,44,SWETMAN Kim,,2575,Silvercloud Archers,270,48,270,42,540,8,44,CW,C,W,
373,45,HASELGROVE Carol,,2112,Aim4Sport,257,53,278,32,535,11,36,CW,C,W,
374,46,POLLITT Jessica,,928,Neston Company of Archers,269,49,266,47,535,6,46,CW,C,W,
375,47,WOOD Patience,,940,Bebington Archers,270,47,264,48,534,8,40,CW,C,W,
376,48,LOWE Philippa,,731,Meriden Archery Club,271,44,261,51,532,8,37,CW,C,W,
377,49,HARRIS Sheila,,692,Redhill Archers,266,51,266,46,532,6,43,CW,C,W,
378,50,LANE Kelly,,971,Wilford Bowmen (Notts),268,50,262,50,530,9,36,CW,C,W,
379,51,BARRETT-REES Grace,,1373,The Swansea University,272,41,257,55,529,14,29,CW,C,W,
380,52,PARLAKGOZ Selina,,2663,Archery Fit London,270,46,258,54,528,14,33,CW,C,W,
381,53,HUMPHREYS Gwenda,,1126,The Castle Archers,261,52,260,52,521,9,30,CW,C,W,
382,54,MCINTOSH Katrina,,333,Swan Archers,254,54,264,49,518,7,31,CW,C,W,
383,55,BRAMLEY Jeanette,,1035,Derwent Bowmen,251,55,259,53,510,9,36,CW,C,W,
384,56,SHORT Amber,,1037,Burton Bridge Archers,193,56,203,56,396,1,17,CW,C,W,
385,1,LEDWICK Ben,,2571,Eagle Bowman of Bedford,205,2,194,3,399,4,9,LM,L,M,
386,2,WILLIAMS Scott,,660,Exmouth Archers,191,3,205,1,396,3,13,LM,L,M,
387,3,STOWELL Ian,,2343,The Longbow Club,207,1,185,4,392,4,7,LM,L,M,
388,4,MACEY Kevin,,1246,Deer Park Archers Ltd,186,5,194,2,380,7,13,LM,L,M,
389,5,NEWNES Alex,,1759,Aber Archers,191,4,155,8,346,1,9,LM,L,M,
390,6,TURNER Mark,,1210,Noak Hill Archers,161,7,178,5,339,3,9,LM,L,M,
391,7,LYNCH Jason,,AGBCHE,Archery GB,166,6,142,13,308,3,2,LM,L,M,
392,8,MAHER Tony,,472,Oakfield Archers,137,11,159,6,296,4,4,LM,L,M,
393,9,PIKE Edward,,1311,Edinburgh Uni AC Alumni,138,10,158,7,296,1,3,LM,L,M,
394,10,LAWRENCE Mark,,1210,Noak Hill Archers,156,8,127,15,283,4,3,LM,L,M,
395,11,DODD Mark,,550,Tyndale Archers,135,12,148,11,283,0,4,LM,L,M,
396,12,PERKINS Derek,,90,Gwynedd Bowmen,131,14,150,10,281,2,6,LM,L,M,
397,13,PETERS Graham,,1246,Deer Park Archers Ltd,130,15,144,12,274,1,4,LM,L,M,
398,14,GOODWIN Mark,,295,Hampstead Bowmen,131,13,137,14,268,2,4,LM,L,M,
399,15,WILKINSON Steve,,1004,Ivanhoe Archers,143,9,117,16,260,3,2,LM,L,M,
400,16,TODD Glenn,,AGBHERT,Archery GB,84,18,151,9,235,3,2,LM,L,M,
401,17,CARTER Robin,,964,Sherwood Archers,117,17,117,17,234,0,2,LM,L,M,
402,18,WOOD Jonathan,,2571,Eagle Bowman of Bedford,121,16,111,18,232,0,7,LM,L,M,
403,19,GROSVENOR Paul,,2663,Archery Fit London,75,19,88,19,163,0,2,LM,L,M,
404,1,HUDSON Sheila,,810,White Rose Archers,203,1,200,1,403,3,2,LW,L,W,
405,2,LAWRENCE Sharon,,1210,Noak Hill Archers,183,3,197,2,380,2,10,LW,L,W,
406,3,GRAHAM Sandie,,1261,Balbardie Archers,185,2,169,3,354,1,6,LW,L,W,
407,4,TWIGG Sophie,,660,Exmouth Archers,167,4,166,4,333,3,6,LW,L,W,
408,5,MCLENAGHAN Kathy,,255,The Nonsuch Bowmen,107,7,154,5,261,2,4,LW,L,W,
409,6,LOUCA Mary,,2571,Eagle Bowman of Bedford,108,6,146,6,254,1,2,LW,L,W,
410,7,WATSON Mary,,2627,Peacock Archers,116,5,108,11,224,2,4,LW,L,W,
411,8,MCILWAIN Kim,,2627,Peacock Archers,93,11,125,8,218,1,2,LW,L,W,
412,9,DUTHIE Beth,,2114,Nottingham Trent Uni AC,83,12,133,7,216,1,1,LW,L,W,
413,10,KING Emma,,1077,University of Plymouth,101,8,110,10,211,1,3,LW,L,W,
414,11,JONES Georgiana,,1010,Loughborough Students AC (Uni),101,9,95,12,196,0,4,LW,L,W,
415,12,MARTYN Emma,,668,Bowmen of the Tors,81,13,113,9,194,1,1,LW,L,W,
416,13,STAPLETON Michaela,,650,Paignton Archers,100,10,56,13,156,1,1,LW,L,W,
417,14,NORSWORTHY Kimberly,,333,Swan Archers,73,14,31,14,104,0,0,LW,L,W,
