,Category Rank,Athlete,Country Code,Country Code.1,Country,18m-1,18m-1.1,18m-2,18m-2.1,Score,10,9,Unnamed: 12,Unnamed: 13,Event,Division,Class
0,1,ELLISON Brady,,USA,Usa,297,1,298,1,595,55,5,,,RM,R,M
1,2,VALLADONT Jean-Charles,,FRA,France,296,3,297,2,593,53,7,,,RM,R,M
2,3,GYE Dong Hyun,,KOR,Korea,296,3,296,4,592,52,8,,,RM,R,M
3,4,MANDIA Massimiliano,,ITA,Italy,294,7,296,4,590,50,10,,,RM,R,M
4,5,MELOTTO Luca,,ITA,Italy,293,11,297,2,590,50,10,,,RM,R,M
5,6,VAN DER VEN Rick,,NED,Netherlands,293,11,294,6,587,47,13,,,RM,R,M
6,7,KIM Joo Wan,,KOR,Korea,296,3,290,22,586,48,11,,,RM,R,M
7,8,FISSORE Matteo,,ITA,Italy,293,9,292,11,585,46,13,,,RM,R,M
8,9,STRAJHAR Klemen,,SLO,Slovenia,296,3,289,28,585,46,13,,,RM,R,M
9,10,DEL OLMO Sergio,,ESP,Spain,292,14,292,8,584,46,12,,,RM,R,M
10,11,ANTOINE Thomas,,FRA,France,293,9,291,17,584,45,14,,,RM,R,M
11,12,IM Ji Wan,,KOR,Korea,294,7,290,25,584,44,16,,,RM,R,M
12,13,BANDA Arpad,,HUN,Hungary,292,16,292,11,584,44,16,,,RM,R,M
13,14,KOENIG Thomas,,FRA,France,297,1,286,47,583,45,14,,,RM,R,M
14,15,VAN DEN OEVER Rick,,NED,Netherlands,293,11,290,23,583,44,15,,,RM,R,M
15,16,CHIODO Carlo,,ITA,Italy,291,18,292,11,583,44,15,,,RM,R,M
16,17,DANIEL Lucas,,FRA,France,292,16,290,25,582,42,18,,,RM,R,M
17,18,KOMOCAR Jaka,,SLO,Slovenia,291,19,291,17,582,42,18,,,RM,R,M
18,19,KOZHIN Alexander,,RUS,Russia,289,22,292,8,581,46,10,,,RM,R,M
19,20,GIROUILLE Romain,,FRA,France,290,20,291,17,581,42,17,,,RM,R,M
20,21,GARMAEV Yuryi,,RUS,Russia,287,30,293,7,580,41,18,,,RM,R,M
21,22,MULOT Florent,,FRA,France,288,28,291,17,579,39,21,,,RM,R,M
22,23,BIDAULT Jerome,,FRA,France,287,30,291,15,578,43,12,,,RM,R,M
23,24,FRANGILLI Michele,,ITA,Italy,288,27,290,23,578,41,17,,,RM,R,M
24,25,SIGAUSKAS Vladas,,LTU,Lithuania,289,24,289,28,578,41,16,,,RM,R,M
25,26,BORODIN Alexey,,RUS,Russia,287,30,291,17,578,40,18,,,RM,R,M
26,27,BERANEK Radek,,CZE,Czech Republic,288,26,289,28,577,42,13,,,RM,R,M
27,28,TAVERNIER Olivier,,FRA,France,290,20,287,42,577,39,19,,,RM,R,M
28,29,MORELLO Marco,,ITA,Italy,289,23,287,42,576,39,18,,,RM,R,M
