,Category Rank,Athlete,Country Code,Country Code.1,Country,18m-1,18m-1.1,18m-2,18m-2.1,Score,10,9,Unnamed: 12,Unnamed: 13,Event,Division,Class
29,30,RODRIGUEZ LIEBANA Juan I.,,ESP,Spain,287,30,289,28,576,38,20,,,RM,R,M
30,31,SANNA Michael,,FRA,France,286,38,289,28,575,38,19,SO,T.10,RM,R,M
31,32,HALL Tom,,GBR,Great Britain,287,30,288,37,575,37,21,SO,T.10,RM,R,M
32,33,KREJ Gregory,,FRA,France,285,40,290,25,575,38,19,SO,T.9,RM,R,M
33,33,ROHRBERG Sebastian,,GER,Germany,292,14,283,58,575,38,19,SO,T.8,RM,R,M
34,35,ALVES Jorge,,POR,Portugal,288,28,286,48,574,36,22,,,RM,R,M
35,35,HUSTON Patrick,,GBR,Great Britain,287,30,287,42,574,36,22,,,RM,R,M
36,37,PIFARRÉ TRUJILLO Miguel Angel,,ESP,Spain,285,42,287,46,572,34,25,,,RM,R,M
37,38,LERICHE Adrien,,FRA,France,285,43,286,48,571,35,21,,,RM,R,M
38,39,PLIHON Pierre,,FRA,France,283,49,288,36,571,34,23,,,RM,R,M
39,40,BERTOLINI Alvise,,ITA,Italy,278,63,292,11,570,41,17,,,RM,R,M
40,41,RUFER Thomas,,SUI,Switzerland,281,54,289,28,570,41,16,,,RM,R,M
41,42,JUDD Michael,,GBR,Great Britain,283,46,287,38,570,39,14,,,RM,R,M
42,43,CALLEWAERT Danny,,BEL,Belgium,283,48,287,40,570,35,21,,,RM,R,M
43,44,AUBERT Thomas,,FRA,France,284,45,286,50,570,31,28,,,RM,R,M
44,45,RIEGER Cedric,,GER,Germany,289,24,280,67,569,39,19,,,RM,R,M
45,46,GOUBEAU Franck,,FRA,France,281,55,287,38,568,36,17,,,RM,R,M
46,47,DIAZ Kévin,,FRA,France,286,36,282,62,568,32,24,,,RM,R,M
47,47,MORGAN Ashe,,GBR,Great Britain,285,40,283,59,568,32,24,,,RM,R,M
48,49,CARUSO Paolo,,ITA,Italy,276,74,291,16,567,40,15,,,RM,R,M
49,50,RIOULT Patrice,,FRA,France,280,57,287,41,567,35,18,,,RM,R,M
50,51,LOPEO Kevin,,FRA,France,284,44,282,64,566,30,27,,,RM,R,M
51,52,LIBERT Eric,,FRA,France,273,89,292,8,565,37,20,,,RM,R,M
52,53,EVANS Sean,,GBR,Great Britain,278,65,287,42,565,31,24,,,RM,R,M
53,53,SMITH Alex,,GBR,Great Britain,283,49,282,60,565,31,24,,,RM,R,M
54,55,HABJAN MALAVASIC Den,,SLO,Slovenia,283,47,281,66,564,38,18,,,RM,R,M
55,56,SERI Marco,,ITA,Italy,285,39,278,77,563,34,17,,,RM,R,M
56,57,LE VAN THOI Mathieu,,FRA,France,286,36,276,88,562,35,21,,,RM,R,M
57,58,QUATTROCCHI Edoardo,,ITA,Italy,278,64,284,54,562,32,19,,,RM,R,M
58,59,NOGUEIRA Pedro,,POR,Portugal,282,52,280,72,562,27,28,,,RM,R,M
59,60,CALLEJA MARISCAL David,,ESP,Spain,276,76,285,51,561,28,25,,,RM,R,M
60,61,TABARD Sebastien,,FRA,France,280,60,280,69,560,30,20,,,RM,R,M
61,62,GLIGOROVSKI Marko,,CRO,Croatia,278,68,282,64,560,25,30,,,RM,R,M
62,63,CUESTA Elias,,ESP,Spain,277,70,282,61,559,31,26,,,RM,R,M
63,64,GOELZ Dominic,,GER,Germany,282,53,277,81,559,29,25,,,RM,R,M
64,65,AGASSIS Fabien,,FRA,France,280,59,279,75,559,29,22,,,RM,R,M
65,66,LEFEBVRE Anthony,,FRA,France,273,88,285,52,558,31,24,,,RM,R,M
66,67,ROCHER Thomas,,FRA,France,275,81,283,57,558,29,24,,,RM,R,M
67,68,DOMITILE Mael,,FRA,France,278,65,280,71,558,28,23,,,RM,R,M
68,69,CORDEAU Richard,,FRA,France,281,56,277,82,558,27,26,,,RM,R,M
69,70,BRIDRON Baptiste,,FRA,France,272,94,285,52,557,32,22,,,RM,R,M
70,71,RUTKOWSKI Quentin,,FRA,France,278,69,279,74,557,26,26,,,RM,R,M
71,72,MCDERMOTT Edward,,GBR,Great Britain,279,61,276,89,555,29,20,,,RM,R,M
72,73,ODDO Stefano,,ITA,Italy,273,92,282,62,555,26,27,,,RM,R,M
73,74,DELOISON Daniel,,FRA,France,266,122,289,28,555,26,24,,,RM,R,M
74,75,ESTIEVENART Philippe,,BEL,Belgium,276,76,278,79,554,25,25,,,RM,R,M
75,76,LANGERS Jerome,,LUX,Luxembourg,282,51,271,107,553,28,20,,,RM,R,M
76,77,RIBAS Erfan,,ESP,Spain,277,71,276,91,553,27,21,,,RM,R,M
77,78,COSTA Giosef,,ITA,Italy,274,85,279,75,553,26,23,,,RM,R,M
78,79,DIMOV Veliko,,SUI,Switzerland,275,80,278,80,553,25,27,,,RM,R,M
79,80,RATHGEB Benjamin,,SUI,Switzerland,276,75,277,85,553,24,26,,,RM,R,M
80,81,BRUNET Hervé,,FRA,France,271,101,280,68,551,25,24,,,RM,R,M
81,82,BLANDIN Thomas,,FRA,France,267,115,284,55,551,24,24,,,RM,R,M
82,83,CUNNINGHAM Martin,,IRL,Ireland,270,103,280,69,550,30,19,,,RM,R,M
83,84,SCHNEIDER Florent,,FRA,France,273,90,277,83,550,27,19,,,RM,R,M
84,85,LEMAIRE Gerald,,FRA,France,279,62,271,112,550,22,26,,,RM,R,M
85,86,TAFFARD Vincent,,FRA,France,274,86,275,93,549,25,23,,,RM,R,M
86,87,GYS Lenthy,,BEL,Belgium,272,96,277,83,549,24,24,,,RM,R,M
87,88,LUXEY Olivier,,FRA,France,260,142,288,35,548,34,13,,,RM,R,M
88,89,GARAVALDI Avio,,SUI,Switzerland,275,78,273,97,548,29,21,,,RM,R,M
89,90,SCARANO Nino,,FRA,France,263,133,284,56,547,27,24,,,RM,R,M
90,91,MARTIN Xavier,,FRA,France,275,82,272,100,547,25,22,,,RM,R,M
91,92,ORLANDO Massimiliano,,ITA,Italy,272,95,275,94,547,25,20,,,RM,R,M
92,93,KOSEC Mihael,,SLO,Slovenia,270,105,277,87,547,21,28,,,RM,R,M
93,94,FOUQUET Fabien,,FRA,France,277,72,269,121,546,23,21,,,RM,R,M
94,95,CIRIONI Simone,,ITA,Italy,267,114,279,73,546,22,26,,,RM,R,M
95,96,REGUL Franz,,FRA,France,272,97,274,95,546,22,24,,,RM,R,M
96,97,MACCHI Thomas,,FRA,France,274,87,272,102,546,21,27,,,RM,R,M
97,98,TIMMINS David,,GBR,Great Britain,274,84,271,108,545,23,25,,,RM,R,M
98,99,LARRAZET Jean Marie,,FRA,France,275,79,270,115,545,22,25,,,RM,R,M
99,100,MASSIP Stéphane,,FRA,France,271,99,273,99,544,22,24,,,RM,R,M
100,101,DIANI Fabrizio,,ITA,Italy,273,93,271,111,544,20,27,,,RM,R,M
101,102,LAPORTE Vincent,,FRA,France,267,112,277,85,544,20,25,,,RM,R,M
102,103,CLERC Henri,,FRA,France,270,104,273,98,543,24,19,,,RM,R,M
103,104,QADIR Adeel,,GBR,Great Britain,273,91,270,117,543,19,25,,,RM,R,M
104,105,GOMEZ GUTIERREZ Jose,,ESP,Spain,270,102,272,103,542,25,24,,,RM,R,M
105,106,DESBIEYS Christophe,,FRA,France,265,126,276,90,541,19,25,,,RM,R,M
106,107,DENTON Douglas,,USA,Usa,269,106,272,103,541,17,30,,,RM,R,M
107,108,GOUGUET Olivier,,FRA,France,280,58,260,138,540,24,23,,,RM,R,M
108,109,DELMAS Denis,,FRA,France,272,98,268,122,540,22,25,,,RM,R,M
109,110,BRIDRON Jeremy,,FRA,France,261,140,278,78,539,23,24,,,RM,R,M
110,111,KAUFMANN Simon,,SUI,Switzerland,266,116,272,101,538,23,24,,,RM,R,M
111,112,LEFRANCOIS Ianis,,FRA,France,278,67,260,139,538,18,28,,,RM,R,M
112,113,QUINTANA Francois,,FRA,France,271,100,266,127,537,22,18,,,RM,R,M
113,114,MALLART Romain,,FRA,France,265,123,272,106,537,21,25,,,RM,R,M
114,115,GOGIOSO Guillaume,,FRA,France,266,117,270,114,536,24,24,,,RM,R,M
115,116,ALBANDEA CARPINTERO Juan Luis,,ESP,Spain,266,120,269,119,535,21,19,,,RM,R,M
116,117,VERGA Francesco,,ITA,Italy,275,83,260,137,535,19,28,,,RM,R,M
117,118,RIVETTI Federico,,ITA,Italy,266,121,269,120,535,19,23,,,RM,R,M
118,119,HERMENT Jean-Luc,,FRA,France,264,130,271,110,535,17,24,,,RM,R,M
119,120,BOUTET Alain,,FRA,France,261,138,273,96,534,21,18,,,RM,R,M
120,121,LAGRANGE Baptiste,,FRA,France,268,107,266,128,534,18,23,,,RM,R,M
121,122,VIALETAY Philippe,,FRA,France,267,112,267,125,534,14,27,,,RM,R,M
122,123,LARRABEITI LAVIÑA Andoni-Jokin,,ESP,Spain,266,118,267,124,533,20,25,,,RM,R,M
123,124,CIAVATTA Daniele,,ITA,Italy,262,136,271,109,533,17,24,,,RM,R,M
124,125,SCARPATO Salvatore,,ITA,Italy,277,72,255,156,532,22,21,,,RM,R,M
125,126,APPIETTO Christian,,FRA,France,267,111,264,133,531,19,24,,,RM,R,M
126,127,BØKESTAD Mikael,,NOR,Norway,258,149,272,103,530,15,29,,,RM,R,M
127,128,OUIN Bruno,,FRA,France,258,147,270,116,528,18,23,,,RM,R,M
128,129,KARDACZ Patrice,,FRA,France,261,138,265,130,526,18,18,,,RM,R,M
129,130,CALLEWAERT Pedro,,FRA,France,263,134,263,135,526,17,25,,,RM,R,M
130,131,FOURMONT Michel,,FRA,France,256,152,269,118,525,18,21,,,RM,R,M
131,132,POP Razvan,,LUX,Luxembourg,258,148,267,123,525,18,18,,,RM,R,M
132,133,AUBORT Rémy,,SUI,Switzerland,264,131,261,136,525,16,24,,,RM,R,M
133,134,LACLERGUE Aurélien,,FRA,France,249,168,275,92,524,31,17,,,RM,R,M
134,135,ESTEVE Henry Gregoire,,FRA,France,267,110,257,149,524,19,20,,,RM,R,M
135,136,MARCOS NOGALES Juan Carlos,,ESP,Spain,265,125,259,143,524,16,20,,,RM,R,M
136,137,POLLET Sony,,FRA,France,257,150,267,126,524,13,31,,,RM,R,M
137,138,HUNEL Philippe,,FRA,France,265,124,258,145,523,18,20,,,RM,R,M
138,139,BESORA Christophe,,FRA,France,268,108,253,162,521,17,24,,,RM,R,M
139,140,CAMESI Romano,,SUI,Switzerland,256,151,265,129,521,16,21,,,RM,R,M
140,141,RAHM Thibaut,,FRA,France,264,132,256,152,520,13,29,,,RM,R,M
141,142,SAMPEDRO Lucien,,FRA,France,264,129,256,154,520,12,29,,,RM,R,M
142,143,MORFAUX Christian,,FRA,France,260,143,259,142,519,15,19,,,RM,R,M
143,144,SCALELLA Lorenzo,,ITA,Italy,265,127,254,160,519,11,21,,,RM,R,M
144,145,LODI Pierluigi,,ITA,Italy,248,172,270,113,518,23,14,,,RM,R,M
145,146,ALBLOOSHI Mohamedrashed,,UAE,UAE,261,137,257,150,518,16,24,,,RM,R,M
146,147,GALISTEO CORPAS Antonio,,ESP,Spain,264,128,254,159,518,14,20,,,RM,R,M
147,148,BOYADJIAN Gérard,,FRA,France,268,109,250,170,518,12,29,,,RM,R,M
148,149,MARIE Thibault,,FRA,France,259,146,258,148,517,15,23,,,RM,R,M
149,150,LAVOISIER Laurent,,FRA,France,249,171,265,131,514,12,21,,,RM,R,M
150,151,LAFONT Fabrice,,FRA,France,261,141,252,164,513,19,23,,,RM,R,M
151,152,HOTRABHVANON Sukrit,,THA,Thailand,255,155,258,146,513,13,20,,,RM,R,M
152,153,GUERRINA Alfredo,,ITA,Italy,260,144,253,163,513,12,25,,,RM,R,M
153,154,ROCCA Benjamin,,FRA,France,253,160,259,141,512,17,17,,,RM,R,M
154,155,VERNIER Christian,,FRA,France,266,119,245,176,511,18,17,,,RM,R,M
155,156,RENARD Dominique,,FRA,France,246,178,265,132,511,13,21,,,RM,R,M
156,157,REID Chris,,GBR,Great Britain,250,164,260,140,510,14,21,,,RM,R,M
157,158,FAURE Sébastien,,FRA,France,263,135,246,175,509,10,24,,,RM,R,M
158,159,SERPI Luigi,,FRA,France,253,160,256,155,509,10,21,,,RM,R,M
159,160,ROGER David,,FRA,France,254,159,254,158,508,12,17,,,RM,R,M
160,161,BRZAKOVIC Dragan,,SRB,Serbia,260,145,247,173,507,12,20,,,RM,R,M
161,162,GUILLERMIN Florent,,FRA,France,252,163,255,157,507,8,23,,,RM,R,M
162,163,HUNSPERGER Thomas,,SUI,Switzerland,255,153,249,171,504,16,23,,,RM,R,M
163,164,DANIEL Alain,,SUI,Switzerland,244,180,259,143,503,14,7,,,RM,R,M
164,165,RIPAUX Pascal,,FRA,France,247,174,256,153,503,12,23,,,RM,R,M
165,166,FERRARI Massimo Bruno,,ITA,Italy,249,169,253,161,502,19,16,,,RM,R,M
166,167,MOREAU ORTEGA Alejandro,,ESP,Spain,255,154,247,172,502,17,25,,,RM,R,M
167,168,BONNAUD Mickael,,FRA,France,252,162,250,169,502,13,20,,,RM,R,M
168,169,DALEAU Guillaume,,FRA,France,245,179,257,151,502,10,24,,,RM,R,M
169,170,PAPIN Matthieu,,FRA,France,238,187,263,134,501,16,20,,,RM,R,M
170,171,PELOZUELO Eric,,FRA,France,250,167,251,166,501,10,19,,,RM,R,M
171,172,LAURAIRE Bruno,,FRA,France,249,170,251,167,500,14,17,,,RM,R,M
172,173,LEVEQUE Alain,,FRA,France,238,188,258,147,496,10,24,,,RM,R,M
173,174,FRONTIERE Dominique,,SUI,Switzerland,247,176,247,174,494,6,23,,,RM,R,M
174,175,MASSON Martial,,FRA,France,241,182,252,165,493,13,20,,,RM,R,M
175,176,CALLEJA GÓMEZ Braulio,,ESP,Spain,250,166,243,183,493,9,19,,,RM,R,M
176,177,CAILLET Philippe,,FRA,France,243,181,244,181,487,10,18,,,RM,R,M
177,178,DRUAULT Alexandre,,FRA,France,254,156,232,189,486,14,17,,,RM,R,M
178,179,GRATTON David,,GBR,Great Britain,241,184,245,178,486,6,21,,,RM,R,M
179,180,RUOZI Uber,,ITA,Italy,234,190,251,168,485,10,22,,,RM,R,M
180,181,HUGON Richard,,FRA,France,239,186,245,177,484,15,15,,,RM,R,M
181,182,SCHMIDT Alain,,SUI,Switzerland,248,173,236,186,484,12,19,,,RM,R,M
182,183,LETY Baptiste,,SUI,Switzerland,247,175,237,184,484,8,22,,,RM,R,M
183,184,ANAYA ALVAREZ Carlos,,ESP,Spain,250,165,228,192,478,14,22,,,RM,R,M
184,185,ROMAN Frédéric,,FRA,France,233,192,243,182,476,13,19,,,RM,R,M
185,186,SOULIER Christophe,,FRA,France,230,194,244,180,474,9,21,,,RM,R,M
186,187,MINIOT Jean Luc,,FRA,France,241,183,232,188,473,12,14,,,RM,R,M
187,188,FERNANDEZ PELLEJERO Felix Manuel,,ESP,Spain,254,157,212,200,466,11,21,,,RM,R,M
188,189,FERIOLI Natale,,ITA,Italy,240,185,225,194,465,8,13,,,RM,R,M
189,190,CAIOLA RIBEIRO Luis Miguel,,POR,Portugal,230,196,235,187,465,4,21,,,RM,R,M
190,191,ALMUSHARREKH Humaid,,UAE,UAE,254,158,207,204,461,6,23,,,RM,R,M
191,192,CHALDEBAS Ronan,,FRA,France,246,177,214,198,460,12,15,,,RM,R,M
192,193,BOVISI Marco,,SUI,Switzerland,234,191,226,193,460,3,19,,,RM,R,M
193,194,PEDRO Melenchón,,ESP,Spain,223,199,230,190,453,9,21,,,RM,R,M
194,195,DAL BON Romuald,,FRA,France,224,198,229,191,453,8,13,,,RM,R,M
195,196,LOPEZ RUIZ Jose Antonio,,ESP,Spain,230,194,222,196,452,11,15,,,RM,R,M
196,197,SANCHEZ MUÑOZ Pedro,,ESP,Spain,205,203,244,179,449,8,14,,,RM,R,M
197,198,CHOLLEY Andre,,FRA,France,212,201,236,185,448,12,22,,,RM,R,M
198,199,DIELEN Tom,,SUI,Switzerland,232,193,214,199,446,6,3,,,RM,R,M
199,200,KRAUS Marc,,FRA,France,235,189,211,202,446,5,16,,,RM,R,M
200,201,DENIS Alain,,FRA,France,227,197,205,205,432,10,7,,,RM,R,M
201,202,EMÍDIO BASTOS MACEDO DIAS Rodolfo,,POR,Portugal,222,200,204,206,426,5,14,,,RM,R,M
202,203,DE GIUSEPPE Timmy,,SUI,Switzerland,198,206,223,195,421,4,9,,,RM,R,M
203,204,HURSTEL Guillaume,,FRA,France,207,202,211,201,418,6,21,,,RM,R,M
204,205,AASEN Bjørnar Thon,,NOR,Norway,189,208,222,197,411,4,13,,,RM,R,M
205,206,MECCHINA Emilio,,ITA,Italy,196,207,208,203,404,3,13,,,RM,R,M
206,207,MARIGO Bernard,,FRA,France,199,204,200,207,399,6,17,,,RM,R,M
207,208,SOUSA Luis,,POR,Portugal,198,205,188,208,386,6,11,,,RM,R,M
208,209,GASPAR Manuel,,POR,Portugal,187,209,177,210,364,6,6,,,RM,R,M
209,210,BEATO Rui Pedro,,POR,Portugal,179,213,183,209,362,1,10,,,RM,R,M
210,211,CHALOPIN Francois,,FRA,France,184,210,177,211,361,1,11,,,RM,R,M
211,212,PIGNOLY Jérôme,,FRA,France,179,212,176,212,355,7,9,,,RM,R,M
212,213,ALSUWAIDI Obaid,,UAE,UAE,172,214,168,213,340,7,10,,,RM,R,M
213,214,RIBEIRO Paulo,,POR,Portugal,183,211,143,216,326,5,10,,,RM,R,M
214,215,PEDROVIEJO Ricardo,,ESP,Spain,159,216,161,214,320,3,4,,,RM,R,M
215,216,DÍAZ DE TUESTA BARREDO Alejandro,,ESP,Spain,165,215,130,217,295,4,8,,,RM,R,M
216,217,HIDDERLEY Adam,,GBR,Great Britain,111,217,160,215,271,10,6,,,RM,R,M
217,1,PARK Sehui,,KOR,Korea,297,1,297,1,594,54,6,,,RW,R,W
218,2,MANDIA Claudia,,ITA,Italy,295,2,297,1,592,53,6,,,RW,R,W
219,3,SCHUH Berengere,,FRA,France,295,3,292,4,587,49,9,,,RW,R,W
220,4,HANSOL Kang,,KOR,Korea,294,5,293,3,587,47,13,,,RW,R,W
221,5,TONETTA Elena,,ITA,Italy,292,6,290,7,582,43,16,,,RW,R,W
222,6,SARTORI Guendalina,,ITA,Italy,294,4,287,13,581,45,12,,,RW,R,W
223,7,BILTRIKOVA Tatiana,,RUS,Russia,292,6,287,15,579,40,19,,,RW,R,W
224,8,SEUNGHYEON Jo,,KOR,Korea,289,9,290,8,579,39,21,,,RW,R,W
225,9,BALSUKOVA Anna,,RUS,Russia,284,16,291,5,575,39,17,,,RW,R,W
226,10,DUBORPER Marina,,FRA,France,285,13,289,10,574,39,16,,,RW,R,W
227,11,FOLKARD Naomi,,GBR,Great Britain,291,8,283,24,574,35,24,,,RW,R,W
228,12,DEGN Randi,,DEN,Denmark,285,14,288,12,573,35,23,,,RW,R,W
229,13,RUGGIERI Laura,,FRA,France,283,17,287,14,570,35,20,,,RW,R,W
230,14,UMER Ana,,SLO,Slovenia,277,33,291,5,568,42,12,,,RW,R,W
231,15,VALEEVA Natalia,,ITA,Italy,278,28,290,8,568,37,22,,,RW,R,W
232,16,LAURSEN Anne Marie,,DEN,Denmark,287,10,281,26,568,34,21,,,RW,R,W
233,17,LAAN Sarina,,NED,Netherlands,286,12,282,25,568,31,26,,,RW,R,W
234,18,AGAMENNONI Annalisa,,ITA,Italy,278,28,289,11,567,36,23,,,RW,R,W
235,19,DEDEN Esther,,NED,Netherlands,279,26,287,16,566,30,26,,,RW,R,W
236,20,ADICEOM Audrey,,FRA,France,281,19,284,21,565,32,22,,,RW,R,W
237,21,ALARCON TORRES Miriam,,ESP,Spain,286,11,278,35,564,37,19,,,RW,R,W
238,22,OLEKSEJENKO Julia,,LAT,Latvia,281,19,283,22,564,33,19,,,RW,R,W
239,23,GONZALEZ Gina,,FRA,France,277,34,286,17,563,34,23,,,RW,R,W
240,24,SCHOBINGER Céline,,FRA,France,282,18,281,26,563,28,28,,,RW,R,W
241,25,PLANEIX Sophie,,FRA,France,277,35,285,20,562,28,27,,,RW,R,W
242,26,HUNT Nicky,,GBR,Great Britain,276,37,285,19,561,31,20,,,RW,R,W
243,27,FRANGILLI Carla,,ITA,Italy,280,21,281,28,561,30,23,,,RW,R,W
244,28,THOMAS Solenne,,FRA,France,276,39,285,18,561,29,23,,,RW,R,W
245,29,FIALON Sandrine,,FRA,France,280,24,280,30,560,29,22,,,RW,R,W
246,30,OZKAYA Selen,,TUR,Turkey,280,22,280,32,560,27,26,,,RW,R,W
247,31,RIIS Jeannette,,DEN,Denmark,280,24,279,33,559,28,23,,,RW,R,W
248,32,ROSENVINGE Carina,,DEN,Denmark,284,15,274,42,558,29,21,SO,T.9,RW,R,W
249,33,PARNAT Reena,,EST,Estonia,278,32,280,31,558,26,29,SO,T.8,RW,R,W
250,34,VIOLI Sara,,ITA,Italy,278,30,277,39,555,28,21,,,RW,R,W
251,35,VARLET Sandrine,,FRA,France,276,40,279,34,555,20,35,,,RW,R,W
252,36,RICHARDSEN Wanja Marie,,NOR,Norway,276,37,278,36,554,24,26,,,RW,R,W
253,37,GANKINA Polina,,POR,Portugal,279,26,275,41,554,23,29,,,RW,R,W
254,38,BOEHNKE Julia,,GER,Germany,280,23,273,43,553,27,22,,,RW,R,W
255,39,BAYAR Hatice,,TUR,Turkey,272,44,280,29,552,28,18,,,RW,R,W
256,40,HEILIG Claudia,,GER,Germany,275,41,277,38,552,25,23,,,RW,R,W
257,41,WOO Songi,,GBR,Great Britain,274,42,277,40,551,0,0,,,RW,R,W
258,42,DEINEKO Iliana,,SUI,Switzerland,265,60,283,22,548,29,20,,,RW,R,W
259,43,BIDEAUD Marie Charlotte,,FRA,France,278,30,267,55,545,24,22,,,RW,R,W
260,44,DIDIERLAURENT Clothilde,,FRA,France,266,58,278,37,544,0,0,,,RW,R,W
261,45,SOULIER Fabienne,,FRA,France,277,36,262,62,539,21,27,,,RW,R,W
262,46,MONFORTE Cecile,,SUI,Switzerland,267,54,272,46,539,19,26,,,RW,R,W
263,47,ROBET TAMBORINI Ophely,,FRA,France,268,49,268,52,536,21,20,,,RW,R,W
264,48,VALENTIN Alina,,GER,Germany,268,50,268,54,536,15,28,,,RW,R,W
265,49,DIELEN Nathalie,,SUI,Switzerland,266,55,268,50,534,30,14,,,RW,R,W
266,50,MONZANI Stefania,,ITA,Italy,271,46,263,59,534,20,26,,,RW,R,W
267,51,GIOT Mélody,,FRA,France,265,62,269,48,534,19,20,,,RW,R,W
268,52,BERLIOZ Laetitia,,FRA,France,273,43,261,65,534,18,24,,,RW,R,W
269,53,ABBOUDA Khadija,,FRA,France,271,45,260,69,531,18,23,,,RW,R,W
270,54,CEKADA Dolores,,SLO,Slovenia,266,57,265,57,531,18,21,,,RW,R,W
271,55,CEUSTERMANS Christina,,BEL,Belgium,257,71,273,44,530,18,22,,,RW,R,W
272,56,LIONETTI Pia,,ITA,Italy,262,65,268,53,530,16,31,,,RW,R,W
273,57,OURY Aurelie,,FRA,France,269,47,260,66,529,21,20,,,RW,R,W
274,58,RUFFLE Annie,,FRA,France,267,53,262,63,529,13,26,,,RW,R,W
275,59,CARROUE Anne-Laure,,FRA,France,256,75,273,45,529,12,30,,,RW,R,W
276,60,AUDEBEAU Laetitia,,FRA,France,266,58,263,61,529,0,0,,,RW,R,W
277,61,SCHNEIDER Jennifer,,USA,Usa,268,48,260,70,528,18,26,,,RW,R,W
278,62,LIZZARDI Marianne,,FRA,France,267,51,258,72,525,20,18,,,RW,R,W
279,63,VESTLUND Lin Kristin,,NOR,Norway,256,74,269,49,525,15,29,,,RW,R,W
280,64,DEVEZ Elodie,,FRA,France,256,73,268,51,524,24,20,,,RW,R,W
281,65,HINCKELLRIN Carole,,FRA,France,266,56,258,73,524,16,21,,,RW,R,W
282,66,COULANGE Hélène,,FRA,France,263,64,260,68,523,19,18,,,RW,R,W
283,67,STEVENSON Kathleen Roberts,,USA,Usa,267,52,255,78,522,19,22,,,RW,R,W
284,68,GALIEGT Mathilde,,FRA,France,253,81,269,47,522,19,19,,,RW,R,W
285,69,JAMBOU Laure,,FRA,France,264,63,257,75,521,12,23,,,RW,R,W
286,70,DI PASQUALE Carla,,ITA,Italy,255,76,261,64,516,20,18,,,RW,R,W
287,71,KLARER Tanja,,SUI,Switzerland,261,66,254,81,515,14,24,,,RW,R,W
288,72,BRUNET Sabine,,FRA,France,247,87,267,56,514,13,23,,,RW,R,W
289,73,OLIVEIRA Patrícia,,POR,Portugal,249,85,263,60,512,12,23,,,RW,R,W
290,74,CAZÉ Amélie,,FRA,France,251,83,260,67,511,16,22,,,RW,R,W
291,75,NATERCIA Dias,,POR,Portugal,255,79,255,80,510,10,23,,,RW,R,W
292,76,LABARRE Sandrine,,FRA,France,253,82,256,77,509,15,18,,,RW,R,W
293,77,RIVERA iLSE,,MEX,Mexico,258,69,251,83,509,14,18,,,RW,R,W
