,Category Rank,Athlete,Country Code,Country Code.1,Country,18m-1,18m-1.1,18m-2,18m-2.1,Score,10,9,Unnamed: 12,Unnamed: 13,Event,Division,Class
0,1,VAN DEN BERG Sjef,,NED,Netherlands,298,2,299,1,597,57,3,,,RM,R,M
1,2,MANDIA Massimiliano,,ITA,Italy,299,1,297,3,596,56,4,,,RM,R,M
2,3,ELLISON Brady,,USA,USA,295,10,299,1,594,54,6,,,RM,R,M
3,4,KIM Bongman,,KOR,Korea,298,2,296,5,594,54,6,,,RM,R,M
4,5,KU Bonchan,,KOR,Korea,296,6,297,3,593,53,7,,,RM,R,M
5,6,STRAJHAR Gasper,,SLO,Slovenia,298,2,294,16,592,52,8,,,RM,R,M
6,7,KIM Jae Hyeong,,KOR,Korea,296,6,296,5,592,52,8,,,RM,R,M
7,8,OH Jin Hyek,,KOR,Korea,295,10,296,5,591,51,9,,,RM,R,M
8,9,KIM Joo Wan,,KOR,Korea,295,10,296,5,591,51,9,,,RM,R,M
9,10,CHIRAULT Thomas,,FRA,France,294,13,295,12,589,49,11,,,RM,R,M
10,11,GYE Dong Hyun,,KOR,Korea,294,13,294,16,588,48,12,,,RM,R,M
11,12,FICHET Romain,,FRA,France,296,6,291,27,587,48,11,,,RM,R,M
12,13,KOENIG Thomas,,FRA,France,292,19,295,10,587,48,11,,,RM,R,M
13,14,FRANGILLI Michele,,ITA,Italy,294,13,293,20,587,47,13,,,RM,R,M
14,15,KAHLLUND Florian,,GER,Germany,292,19,295,12,587,47,13,,,RM,R,M
15,16,WIJLER Steve,,NED,Netherlands,296,6,291,29,587,47,13,,,RM,R,M
16,17,VALLADONT Jean-Charles,,FRA,France,292,17,294,14,586,48,10,,,RM,R,M
17,18,LEE Seungshin,,KOR,Korea,290,26,296,5,586,46,14,,,RM,R,M
18,19,RIEGER Cedric,,GER,Germany,292,19,293,20,585,45,15,,,RM,R,M
19,20,HAN Jaeyeop,,KOR,Korea,297,5,287,40,584,53,6,,,RM,R,M
20,21,CHENEAU Emilien,,FRA,France,292,17,292,23,584,46,12,,,RM,R,M
21,22,GSTOETTNER Andreas,,AUT,Austria,289,31,295,10,584,45,14,,,RM,R,M
22,23,PLIHON Pierre,,FRA,France,291,23,293,19,584,45,14,,,RM,R,M
23,24,KIM Tae Yang,,KOR,Korea,290,26,294,16,584,44,16,,,RM,R,M
24,25,GAZOZ Mete,,TUR,Turkey,291,22,291,29,582,44,14,,,RM,R,M
25,26,NAGLIERI Thomas,,FRA,France,287,37,294,14,581,44,13,,,RM,R,M
26,27,MIN Byeongyeon,,KOR,Korea,291,23,290,31,581,41,19,,,RM,R,M
27,28,TONELLI Amedeo,,ITA,Italy,287,37,293,20,580,42,16,,,RM,R,M
28,29,IRRASCH Dominik,,AUT,Austria,286,43,292,25,578,40,18,SO,T.10,RM,R,M
29,30,VEIRA MORENO Vicente Enrique,,ESP,Spain,287,41,291,27,578,39,20,SO,T.10,RM,R,M
30,31,WILLIAMS Jack,,USA,USA,290,26,288,37,578,39,20,SO,T.10,RM,R,M
31,32,HALL Tom,,GBR,Great Britain,290,26,288,39,578,38,22,SO,T.10,RM,R,M
32,33,RIPAUX Valentin,,FRA,France,286,42,292,23,578,42,15,SO,T.7,RM,R,M
33,34,BOARDMAN Ernesto,,MEX,Mexico,290,26,288,37,578,39,20,SO,T.9,RM,R,M
34,35,VAN DER VEN Rick,,NED,Netherlands,289,31,286,53,575,37,21,,,RM,R,M
35,36,DE GRANDIS Jocelyn,,FRA,France,287,40,287,44,574,36,22,,,RM,R,M
36,37,AUBERT Thomas,,FRA,France,287,37,286,50,573,36,21,,,RM,R,M
37,37,FISSORE Matteo,,ITA,Italy,286,43,287,44,573,36,21,,,RM,R,M
38,39,MAKHNENKO Artem,,RUS,Russia,289,31,284,59,573,35,23,,,RM,R,M
