,Category Rank,Athlete,Country Code,Country Code.1,Country,18m-1,18m-1.1,18m-2,18m-2.1,Score,10,9,Unnamed: 12,Unnamed: 13,Event,Division,Class
0,1,ELLISON Brady,,USA,USA,299,1,300,1,599,59,1,,,RM,R,M
1,2,GYE Dong Hyun,,KOR,Korea,297,2,297,3,594,54,6,,,RM,R,M
2,3,VALLADONT Jean-Charles,,FRA,France,295,5,299,2,594,54,6,,,RM,R,M
3,4,OH Jin Hyek,,KOR,Korea,295,5,296,4,591,51,9,,,RM,R,M
4,5,KU Bonchan,,KOR,Korea,296,3,294,7,590,50,10,,,RM,R,M
5,6,MANDIA Massimiliano,,ITA,Italy,293,9,295,5,588,50,8,,,RM,R,M
6,7,HALL Tom,,GBR,Great Britain,294,7,294,7,588,48,12,,,RM,R,M
7,8,MAKHNENKO Artem,,RUS,Russia,292,15,295,6,587,47,13,,,RM,R,M
8,9,KIM Joo Wan,,KOR,Korea,292,15,294,7,586,46,14,,,RM,R,M
9,10,IM Ji Wan,,KOR,Korea,294,7,292,13,586,46,14,,,RM,R,M
10,11,HUSTON Patrick,,GBR,Great Britain,292,15,294,7,586,46,14,,,RM,R,M
11,12,ANTOINE Thomas,,FRA,France,293,9,292,13,585,46,13,,,RM,R,M
12,13,FISSORE Matteo,,ITA,Italy,296,3,288,28,584,46,12,,,RM,R,M
13,14,KOZHIN Alexander,,RUS,Russia,290,21,294,7,584,45,14,,,RM,R,M
14,15,VAN DEN OEVER Rick,,NED,Netherlands,293,9,290,21,583,46,11,,,RM,R,M
15,16,NAGLIERI Thomas,,FRA,France,292,14,290,22,582,45,12,,,RM,R,M
16,17,VAN DER VEN Rick,,NED,Netherlands,293,9,288,28,581,45,11,,,RM,R,M
17,18,MULOT Florent,,FRA,France,293,13,287,35,580,49,10,,,RM,R,M
18,19,LIBERT Eric,,FRA,France,289,25,291,20,580,41,18,,,RM,R,M
19,20,RIEGER Cedric,,GER,Germany,290,21,290,23,580,41,18,,,RM,R,M
20,21,PLIHON Pierre,,FRA,France,291,19,289,27,580,40,20,,,RM,R,M
21,22,POPOV Vitalii,,RUS,Russia,287,28,292,12,579,40,19,,,RM,R,M
22,23,BERANEK Radek,,CZE,Czech Republic,287,28,291,18,578,40,18,,,RM,R,M
23,24,FRANGILLI Michele,,ITA,Italy,289,26,289,25,578,39,20,,,RM,R,M
24,25,BIDAULT Jerome,,FRA,France,286,36,291,18,577,40,18,,,RM,R,M
25,26,SIGAUSKAS Vladas,,LTU,Lithuania,292,15,285,48,577,40,17,,,RM,R,M
26,27,MAGRINI Emanuele,,ITA,Italy,285,40,292,13,577,39,19,,,RM,R,M
27,28,GARRETT Zach,,USA,USA,289,24,287,36,576,41,16,,,RM,R,M
28,29,RUFER Thomas,,SUI,Switzerland,287,28,289,25,576,37,22,,,RM,R,M
29,30,CHENEAU Emilien,,FRA,France,291,19,285,49,576,37,22,,,RM,R,M
30,31,GIROUILLE Romain,,FRA,France,287,28,288,28,575,39,18,SO,T.9,RM,R,M
31,32,MORELLO Marco,,ITA,Italy,287,28,288,28,575,38,19,SO,T.10,RM,R,M
32,33,DANIEL Lucas,,FRA,France,288,27,287,41,575,38,19,SO,T.7,RM,R,M
33,34,SANNA Michael,,FRA,France,287,28,287,36,574,39,16,,,RM,R,M
34,35,KREJ Gregory,,FRA,France,290,21,284,55,574,35,24,,,RM,R,M
35,36,BERTOLINI Alvise,,ITA,Italy,282,56,292,17,574,0,0,,,RM,R,M
36,37,SIMO Alvaro,,ESP,Spain,285,38,288,28,573,38,17,,,RM,R,M
37,38,ALVAREZ MURILLO Luis Antonio,,MEX,Mexico,285,40,288,28,573,37,19,,,RM,R,M
38,39,ALVARINO GARCIA Miguel,,ESP,Spain,283,51,290,23,573,34,25,,,RM,R,M
39,40,AUBERT Thomas,,FRA,France,285,38,287,36,572,37,18,,,RM,R,M
40,41,DEL OLMO Sergio,,ESP,Spain,286,37,286,44,572,35,22,,,RM,R,M
41,42,MIYAHARA Masashi,,JPN,Japan,283,50,288,28,571,33,25,,,RM,R,M
42,43,BERGUIN Philippe,,FRA,France,283,48,287,36,570,35,21,,,RM,R,M
43,44,MACÉ Godefroi,,FRA,France,285,42,284,53,569,34,23,,,RM,R,M
44,45,LOPEO Kevin,,FRA,France,283,46,286,45,569,34,22,,,RM,R,M
45,46,MOLFESE Fabio,,ITA,Italy,276,75,292,13,568,35,18,,,RM,R,M
46,47,VEIRA MORENO Vicente Enrique,,ESP,Spain,282,55,286,43,568,31,26,,,RM,R,M
47,48,CARUSO Paolo,,ITA,Italy,286,35,281,64,567,35,21,,,RM,R,M
48,49,FABER Dominik,,SUI,Switzerland,285,42,282,62,567,30,27,,,RM,R,M
49,50,RIBAS Erfan,,ESP,Spain,282,52,284,52,566,36,16,,,RM,R,M
50,51,MORTEMOUSQUE Geoffrey,,FRA,France,283,47,283,57,566,33,22,,,RM,R,M
51,52,ZOPFMANN Maxime,,FRA,France,284,44,282,58,566,32,22,,,RM,R,M
52,53,BLANDIN Thomas,,FRA,France,281,58,285,49,566,31,25,,,RM,R,M
53,54,HURBAN JR. Vladimir,,SVK,Slovakia,284,45,282,58,566,31,24,,,RM,R,M
54,55,ALONSO Sebastian,,FRA,France,283,49,282,58,565,31,23,,,RM,R,M
55,56,GERZAIN Pierre,,FRA,France,278,68,287,36,565,29,27,,,RM,R,M
56,57,EBRAHIMI SADRABADI Omid,,IRI,IR Iran,280,61,285,51,565,0,0,,,RM,R,M
57,58,FAUCHERON Thomas,,FRA,France,281,58,283,56,564,37,19,,,RM,R,M
58,59,FRICOTEAUX Germain,,FRA,France,278,65,285,46,563,33,18,,,RM,R,M
59,60,DELOISON Daniel,,FRA,France,287,28,275,85,562,34,16,,,RM,R,M
60,61,DULIN Nicolas,,FRA,France,275,78,286,42,561,35,21,,,RM,R,M
61,62,DIMOV Veliko,,SUI,Switzerland,275,80,285,47,560,31,22,,,RM,R,M
62,63,PARIS Tito,,ITA,Italy,282,56,277,77,559,13,12,,,RM,R,M
63,64,MASSON Martial,,FRA,France,274,85,284,54,558,29,23,,,RM,R,M
64,65,ZHANG He,,CHN,PR China,277,70,281,65,558,26,27,,,RM,R,M
65,66,ALVES Jorge,,POR,Portugal,282,52,276,80,558,26,26,,,RM,R,M
66,66,KAUFMANN Simon,,SUI,Switzerland,278,65,280,69,558,26,26,,,RM,R,M
67,68,MATZKIN Guy,,ISR,Israel,277,71,281,66,558,23,32,,,RM,R,M
68,69,LEFEBVRE Anthony,,FRA,France,278,69,280,70,558,0,0,,,RM,R,M
69,70,FICHET Romain,,FRA,France,282,54,275,83,557,37,19,,,RM,R,M
70,71,BELAY Vincent,,FRA,France,277,72,279,72,556,0,0,,,RM,R,M
71,72,FONSECA David,,POR,Portugal,274,82,281,63,555,30,19,,,RM,R,M
72,73,BERGER Thomas,,FRA,France,272,91,282,58,554,31,22,,,RM,R,M
73,74,COLTEL Nicolas,,FRA,France,276,73,278,74,554,26,23,,,RM,R,M
74,75,PERABONI Marco,,ITA,Italy,278,67,276,79,554,25,25,,,RM,R,M
75,76,STEVENSON Thomas JR,,USA,USA,276,73,277,76,553,27,21,,,RM,R,M
76,77,DELABROSSE Sylvain,,FRA,France,278,64,275,88,553,23,28,,,RM,R,M
77,78,MALLART Romain,,FRA,France,278,63,274,90,552,25,25,,,RM,R,M
78,79,ELALAOUI Ismail,,MAR,Morocco,276,77,275,89,551,19,34,,,RM,R,M
79,80,DUCOS Johan,,FRA,France,271,99,279,71,550,17,36,,,RM,R,M
80,81,LOUCHE Benjamin,,FRA,France,274,84,275,86,549,25,22,,,RM,R,M
81,82,SCHNEIDER Florent,,FRA,France,271,95,278,73,549,24,25,,,RM,R,M
82,83,SOLBACH Julien,,FRA,France,274,86,275,87,549,23,27,,,RM,R,M
83,84,JELLOUN Mohamed,,MAR,Morocco,273,90,276,80,549,18,33,,,RM,R,M
84,85,DIAZ Kévin,,FRA,France,270,100,277,78,547,25,27,,,RM,R,M
85,86,SEPTIER Romain,,FRA,France,275,79,272,93,547,23,27,,,RM,R,M
86,87,GRAS Jimmy,,FRA,France,274,86,272,95,546,21,26,,,RM,R,M
87,88,CAINE Andy,,GBR,Great Britain,276,76,269,103,545,24,29,,,RM,R,M
