,Category Rank,Athlete,Country Code,Country Code.1,Country,18m-1,18m-1.1,18m-2,18m-2.1,Score,10,9,Unnamed: 12,Unnamed: 13,Event,Division,Class
0,1,ELLISON Brady,,USA,USA,297,1,298,1,595,55,5,,,RM,R,M
1,2,WILLIAMS Jack,,USA,USA,297,1,296,3,593,53,7,,,RM,R,M
2,3,RIEGER Cedric,,GER,Germany,296,4,295,4,591,51,9,,,RM,R,M
3,4,PLIHON Pierre,,FRA,France,296,4,295,4,591,51,9,,,RM,R,M
4,5,CHIRAULT Thomas,,FRA,France,293,13,297,2,590,50,10,,,RM,R,M
5,6,REMAR Alen,,CRO,Croatia,296,4,293,10,589,50,9,,,RM,R,M
6,7,KAHLLUND Florian,,GER,Germany,295,9,293,13,588,48,12,,,RM,R,M
7,8,VALLADONT Jean-Charles,,FRA,France,295,9,292,14,587,48,11,,,RM,R,M
8,9,PASQUALUCCI David,,ITA,Italy,294,12,293,10,587,48,11,,,RM,R,M
9,10,MORELLO Marco,,ITA,Italy,295,9,292,16,587,47,13,,,RM,R,M
10,11,ACHA Pablo,,ESP,Spain,292,17,294,8,586,46,14,,,RM,R,M
11,12,OLARU Dan,,MDA,Moldova,293,13,291,23,584,45,14,,,RM,R,M
12,13,MAIER Johannes,,GER,Germany,292,17,292,16,584,44,16,,,RM,R,M
13,14,HALL Tom,,GBR,Great Britain,290,22,293,10,583,44,15,,,RM,R,M
14,15,WIESER Felix,,GER,Germany,292,16,291,26,583,44,15,,,RM,R,M
15,16,TSYDYPOV Erdem,,RUS,Russia,291,20,292,16,583,43,17,,,RM,R,M
16,17,NESPOLI Mauro,,ITA,Italy,296,4,286,42,582,51,8,,,RM,R,M
17,18,FABER Florian,,SUI,Switzerland,297,1,285,49,582,45,13,,,RM,R,M
18,19,CASTRO Daniel,,ESP,Spain,287,39,295,4,582,42,18,,,RM,R,M
19,20,CHENEAU Emilien,,FRA,France,290,22,292,16,582,42,18,,,RM,R,M
20,21,VAN DER VEN Rick,,NED,Netherlands,296,4,285,48,581,50,9,,,RM,R,M
21,22,MUSOLESI Federico,,ITA,Italy,289,26,292,16,581,42,17,,,RM,R,M
