,Category Rank,Athlete,Country Code,Country Code.1,Country,18m-1,18m-1.1,18m-2,18m-2.1,Score,10,9,Event,Division,Class,Unnamed: 12,Unnamed: 13
391,47,BRYAN Jenny,,1770,Bramcote Junior AC,267,47,268,49,535,9,38,CW,C,W,,
392,48,SWORD Michelle,,333,Swan A,266,49,268,48,534,12,40,CW,C,W,,
393,49,CLIFFORD Holly,,1247,Deer Park Junior A Ltd,263,50,270,45,533,7,41,CW,C,W,,
394,50,PERROTT Mary-Louise,,AGBHP,AGB Hamps,255,52,265,50,520,8,36,CW,C,W,,
395,51,MARSH Charlene,,993,Silver Spoon B,259,51,261,51,520,7,37,CW,C,W,,
396,52,PRIEELS Sarah,,1311,Edinburgh Uni Alumni AC,280,15,0,0,280,11,18,CW,C,W,,
397,1,GERRARD Llew,,90,Gwynedd B,221,1,250,1,471,9,13,LM,L,M,,
398,2,TWIGG Robert,,660,Exmouth A,220,2,229,2,449,5,13,LM,L,M,,
399,3,HAGON Luke,,337,Leaves Green B,177,6,217,3,394,1,13,LM,L,M,,
400,4,BRIDGES James,,1500,Netherhall A,182,5,191,4,373,5,4,LM,L,M,,
401,5,THOMAS Simon,,279,Fakenham B,183,4,186,6,369,3,5,LM,L,M,,
402,6,NEWNES Alex,,1759,Aber A (Uni),189,3,179,7,368,5,3,LM,L,M,,
403,7,AGAR Paul,,1012,Melton Mowbray AC,168,7,189,5,357,3,5,LM,L,M,,
404,8,MAHER Anthony,,472,Oakfield A,156,9,176,8,332,1,1,LM,L,M,,
405,9,PAWLIK Marek,,1202,The Fort A,162,8,165,10,327,2,7,LM,L,M,,
406,10,PIKE Edward,,203,Edinburgh Uni AC Students,146,11,153,11,299,0,3,LM,L,M,,
407,11,WILLIAMS Danny,,1294,Cymric A,130,12,166,9,296,2,3,LM,L,M,,
408,12,KITSON Stuart,,90,Gwynedd B,149,10,147,12,296,0,7,LM,L,M,,
409,13,SUTHERLAND Kevin,,1246,Deer Park A Ltd,122,14,142,13,264,1,2,LM,L,M,,
410,14,BALL Geoff,,993,Silver Spoon B,128,13,99,15,227,1,2,LM,L,M,,
411,15,MORRIS Jake,,1747,Uni of Derby AC,94,16,124,14,218,0,6,LM,L,M,,
412,16,PRATT Simon,,338,Lamorbey Park A,116,15,81,16,197,0,3,LM,L,M,,
413,1,CROUCH Irene,,330,Thanet AC,190,1,173,2,363,2,11,LW,L,W,,
414,2,WOOLCOCK Sophie,,667,Brixham A Limited,167,2,190,1,357,7,5,LW,L,W,,
415,3,STUBBINGS Bernadette,,275,Wherry A,158,3,164,3,322,0,2,LW,L,W,,
416,4,WILLIAMS Emily,,69,Pentref B,145,5,151,4,296,0,2,LW,L,W,,
417,5,BAYLIS Kayleigh,,2490,Cardiff Uni AC,148,4,110,5,258,1,4,LW,L,W,,
418,6,DUTTON Lesley,,337,Leaves Green B,59,6,34,6,93,0,2,LW,L,W,,
