,Category Rank,Athlete,Country Code,Country Code.1,Country,18m-1,18m-1.1,18m-2,18m-2.1,Score,10,9,Unnamed: 12,Unnamed: 13,Event,Division,Class
0,1,OH Jinhyek,,KOR03,Hyundai S,297,3,299,1,596,56,4,,,RM,R,M
1,2,MIN Byeong Yeon,,KOR03,Hyundai S,298,1,297,4,595,55,5,,,RM,R,M
2,3,KIM Jaeh Yeong,,KOR03,Hyundai S,297,3,297,4,594,54,6,,,RM,R,M
3,4,ELLISON Brady,,USA06,Usa,298,1,294,11,592,52,8,,,RM,R,M
4,5,VALLADONT Jean-Charles,,FRA7A,Nimes,294,11,298,2,592,52,8,,,RM,R,M
5,6,MANDIA Massimiliano,,ITA37,G.S. Fiamme Azzurre,293,15,298,2,591,51,9,,,RM,R,M
6,7,VAN DER VEN Rick,,NED0E,Team Hoyt,296,5,294,10,590,51,8,,,RM,R,M
7,8,TAVERNIER Olivier,,FRA2D,Compiègne,292,17,296,7,588,49,10,,,RM,R,M
8,9,HUSTON Patrick,,GBR08,East Belfast Archery Club,294,9,294,11,588,49,10,,,RM,R,M
9,10,GYE Dong Hyun,,KOR03,Hyundai S,295,6,292,19,587,47,13,,,RM,R,M
10,11,VAN DEN BERG Sjef,,NED0B,The Netherlands,289,24,297,4,586,47,12,,,RM,R,M
11,12,NESPOLI Mauro,,ITA35,G.S. Aeronautica Militare,295,6,290,28,585,48,9,,,RM,R,M
12,13,MCLAUGHLIN Daniel,,USA18,Usa Archery,293,13,291,27,584,46,12,,,RM,R,M
13,14,PALAZZI Luca,,ITA0B,A.S.D. Arcieri Orione,290,21,293,14,583,46,11,,,RM,R,M
14,15,AUBERT Thomas,,FRA7A,Nimes,291,20,292,19,583,43,17,,,RM,R,M
15,16,RODRIGUEZ LIEBA Juan Ignacio,,ESP22,Rozas Archery,288,31,294,11,582,43,16,,,RM,R,M
16,17,LIBERT Eric,,FRA9A,Saint Germain Sur Morin,293,13,289,37,582,43,16,,,RM,R,M
17,18,MORELLO Marco,,ITA3B,Iuvenilia,289,24,292,17,581,43,15,,,RM,R,M
18,19,MAKHNENKO Artem,,RUS04,Russian Archery Federation,295,6,286,56,581,43,15,,,RM,R,M
19,20,PLIHON Pierre,,FRA7A,Nimes,294,9,287,53,581,42,17,,,RM,R,M
20,21,ALVARINO GARCIA Miguel,,ESP14,Club Silex,286,51,295,9,581,42,17,,,RM,R,M
21,22,YAMAGUCHI Nathan,,USA12,Paseo Vista,294,11,287,52,581,42,17,,,RM,R,M
22,23,HARTMANN Daniel,,GER06,Team Rap,292,18,289,37,581,41,19,,,RM,R,M
23,24,FERNANDEZ Antonio,,ESP0F,Arqueros San Jorge,287,40,293,14,580,42,16,,,RM,R,M
24,25,FRANGILLI Michele,,ITA3A,Italie,289,24,291,23,580,41,18,,,RM,R,M
25,26,IRWIN Micheal,,IRL03,Enniscorthy Archery Club,287,40,292,17,579,41,17,,,RM,R,M
26,27,IM Jiwan,,KOR03,Hyundai S,293,15,286,57,579,40,19,,,RM,R,M
27,28,BERGER Thomas,,FRA7A,Nimes,291,19,287,48,578,41,16,,,RM,R,M
28,29,TYACK Ryan,,AUS01,Sunshine Coast Archery Cl,286,47,292,19,578,40,18,,,RM,R,M
29,30,MOLFESE Fabio,,ITA0D,A.S.D. Arcieri Torrevecch,289,29,289,34,578,40,18,,,RM,R,M
30,31,HARDING George,,GBR01,Archery Gb,289,30,289,37,578,19,11,,,RM,R,M
31,32,WECKMULLER Maximilian,,GER05,Fbg Werratal,289,24,288,41,577,40,17,SO,T.10*,RM,R,M
32,33,CHELONI Alberto,,ITA19,Arcieri Della Signoria,286,45,291,23,577,40,17,SO,T.10,RM,R,M
33,34,ANTOINE Thomas,,FRA8F,Riom,283,71,293,14,576,39,18,,,RM,R,M
34,35,MORGAN Ashe,,GBR04,Cheltenham Archers,289,23,286,57,575,38,19,,,RM,R,M
35,35,SANNA Michael,,FRA29,Clermont Ferrand Cie,284,58,291,23,575,38,19,,,RM,R,M
36,37,GIROUILLE Romain,,FRA8E,Rennes Cie,283,65,291,23,574,45,12,,,RM,R,M
37,38,MULOT Florent,,FRA35,Draveil Senart,278,97,296,7,574,43,16,,,RM,R,M
