,Category Rank,Athlete,Country,18m-1,18m-2,Score,10,9,Event,Division,Class
46,47,FABCIC Dejan,SLO - Slovenia,281/43,277/54,558,29,21,RM,R,M
47,48,NEVEUX Cyriaque,FRA - France,275/57,283/42,558,28,24,RM,R,M
48,49,MILLON Tom,FRA - France,277/54,281/45,558,28,23,RM,R,M
49,50,DUPUIS Emmanuel,FRA - France,284/36,273/66,557,32,23,RM,R,M
50,51,VANDERGUCHT Jonathan,BEL - Belgium,274/59,281/46,555,29,27,RM,R,M
51,52,ALEIXO AGOSTINHO CAIOLA RIBEIR Henrique Miguel,POR - Portugal,281/42,274/64,555,26,24,RM,R,M
52,53,CORSIN Valentin,FRA - France,280/47,275/61,555,24,29,RM,R,M
53,54,BRIERE Guillaume,FRA - France,277/53,277/55,554,27,23,RM,R,M
54,55,CAPELLE Antoine,FRA - France,275/55,279/52,554,26,25,RM,R,M
55,56,BERANEK Radek,CZE - Czech Republic,273/62,280/49,553,28,23,RM,R,M
56,57,VANHAEREN Maarten,BEL - Belgium,273/61,280/50,553,27,23,RM,R,M
57,58,TONNAIRE Hugo,FRA - France,278/52,275/62,553,24,25,RM,R,M
58,59,URRIZA GUILLEN Jon,ESP - Spain,279/50,274/65,553,23,27,RM,R,M
59,60,MOULIN Louis,FRA - France,269/67,282/44,551,29,23,RM,R,M
60,61,FLETCHER Luis,ESP - Spain,271/64,280/51,551,10,12,RM,R,M
61,62,SCHNEIDER Florent,FRA - France,275/56,275/58,550,28,16,RM,R,M
62,63,THIREAU Rodolphe,FRA - France,274/60,273/67,547,22,25,RM,R,M
63,64,RIPAUX Valentin,FRA - France,270/65,275/60,545,23,25,RM,R,M
64,65,ALMEIDA Guilherme,POR - Portugal,271/63,274/63,545,23,23,RM,R,M
65,66,DAUPTAIN Tony,FRA - France,270/66,271/69,541,20,26,RM,R,M
66,67,PETERSEN Victor,FRA - France,267/76,272/68,539,19,26,RM,R,M
67,68,MICHIELETTO Alberto,ITA - Italy,260/83,276/57,536,24,23,RM,R,M
68,69,NORMAND Benoit,FRA - France,269/70,266/71,535,17,24,RM,R,M
69,70,PLUCHON Adrien,FRA - France,268/72,265/75,533,18,25,RM,R,M
70,71,JURZYNSKI Benoit,FRA - France,267/75,265/72,532,24,15,RM,R,M
71,72,GUYARD Philippe,FRA - France,269/71,262/78,531,23,17,RM,R,M
72,73,CAMPANELLI Danio,FRA - France,256/87,275/59,531,17,21,RM,R,M
73,74,COMMEYNE Eric,FRA - France,265/79,265/73,530,19,20,RM,R,M
74,75,BOSSEUR DIT TOBY Yoann,FRA - France,264/80,266/70,530,16,25,RM,R,M
75,76,ESPEU Julien,FRA - France,264/81,265/74,529,16,29,RM,R,M
76,77,DUMOLIE Jean Michel,FRA - France,265/78,264/76,529,14,29,RM,R,M
77,78,DELOISON Daniel,FRA - France,269/68,258/84,527,16,23,RM,R,M
78,79,CAMPANA Nicolas,SUI - Switzerland,268/73,259/82,527,15,25,RM,R,M
79,80,GRUFFAT Lionel,FRA - France,267/74,255/86,522,20,22,RM,R,M
80,81,POIRIER Emmanuel,SUI - Switzerland,269/69,253/90,522,14,21,RM,R,M
81,82,MOTHE Guilhem,FRA - France,265/77,256/85,521,18,24,RM,R,M
82,83,KIM Min seok,TUR - Turkey,262/82,258/83,520,22,19,RM,R,M
83,84,SOLBACH Julien,FRA - France,256/85,264/77,520,15,23,RM,R,M
84,85,JOLY Remi,FRA - France,256/86,260/81,516,14,20,RM,R,M
85,86,EITING Thomas,GER - Germany,250/92,261/80,511,13,22,RM,R,M
86,87,IRIGOYEN Gonzalo,SWE - Sweden,254/88,251/91,505,16,21,RM,R,M
87,88,ZURBANO Amets,ESP - Spain,251/91,254/87,505,13,16,RM,R,M
88,89,BUKOWIEC Sebastian,FRA - France,251/90,253/89,504,11,20,RM,R,M
89,90,JOUFFROY Tom,FRA - France,240/99,261/79,501,17,20,RM,R,M
90,91,BARLOW Ru,GBR - Great Britain,248/93,249/92,497,13,22,RM,R,M
91,92,AKPA Bedi Paul Donatien,CIV - Cote d Ivoire,258/84,238/98,496,17,21,RM,R,M
92,93,ANDRÉ Steven,FRA - France,245/95,248/94,493,16,18,RM,R,M
93,94,PROFIT Michel,FRA - France,239/100,253/88,492,14,23,RM,R,M
94,95,MOLIS Killian,FRA - France,240/98,246/95,486,16,20,RM,R,M
95,96,GAVRILA Sergiu,GER - Germany,252/89,234/100,486,11,19,RM,R,M
96,97,AKPINAR Burak,TUR - Turkey,245/96,241/96,486,11,17,RM,R,M
97,98,CHAVANT Christophe,FRA - France,235/102,249/93,484,5,20,RM,R,M
98,99,GIOCONDI Jonathan,FRA - France,242/97,240/97,482,8,17,RM,R,M
99,100,GAILLOT Remy,FRA - France,246/94,224/102,470,10,11,RM,R,M
100,101,SÖKMEN Ali,TUR - Turkey,231/104,238/99,469,18,12,RM,R,M
101,102,MOULIN Raymond,FRA - France,233/103,227/101,460,1,20,RM,R,M
102,103,COLLARD Laurent,FRA - France,239/100,184/106,423,7,19,RM,R,M
103,104,PINEDE Gabriel,FRA - France,216/105,187/104,403,3,14,RM,R,M
104,105,LE DISEZ Yann,FRA - France,157/107,205/103,362,4,10,RM,R,M
105,106,TSCHERNITSCH Engelbert,GER - Germany,158/106,186/105,344,7,7,RM,R,M
106,0,0,0,0,0,0,0,0,0,0,0
107,1,ANDREOLI Tatiana,ITA - Italy,293/ 2,292/ 1,585,45,15,RW,R,W
108,2,FLORENT Anaelle,FRA - France,294/ 1,290/ 5,584,44,16,RW,R,W
109,3,BARBELIN Lisa,FRA - France,292/ 3,292/ 1,584,44,16,RW,R,W
110,4,GAUBIL Melanie,FRA - France,292/ 3,286/ 8,578,39,20,RW,R,W
111,5,LOPEZ Caroline,FRA - France,286/11,291/ 4,577,39,19,RW,R,W
112,6,VAN DER WINKEL Laura,NED - Netherlands,289/ 6,286/ 7,575,37,21,RW,R,W
113,7,BOARI Lucilla,ITA - Italy,291/ 5,283/10,574,39,17,RW,R,W
114,8,BARDARY Marion,FRA - France,287/10,287/ 6,574,35,24,RW,R,W
115,9,SCHLOESSER Gaby,NED - Netherlands,282/17,292/ 1,574,35,24,RW,R,W
116,10,COHENDET Angeline,FRA - France,287/ 9,283/11,570,34,23,RW,R,W
117,11,LIONETTI Pia,ITA - Italy,286/11,284/ 9,570,33,24,RW,R,W
118,12,MANDIA Claudia,ITA - Italy,288/ 7,280/15,568,32,25,RW,R,W
119,13,UMER Ana,SLO - Slovenia,284/14,280/14,564,37,19,RW,R,W
120,14,ADICEOM Audrey,FRA - France,287/ 8,277/20,564,37,18,RW,R,W
121,15,VAN DER ZANDEN Wendy,NED - Netherlands,285/13,279/17,564,32,21,RW,R,W
122,16,SLANA Teja,SLO - Slovenia,282/16,282/12,564,32,20,RW,R,W
123,17,VILLARD Laurena,FRA - France,284/15,279/19,563,26,31,RW,R,W
124,18,BAILLION Laure,FRA - France,277/20,280/16,557,25,29,RW,R,W
125,19,AUTRET Aurélie,FRA - France,281/18,274/24,555,25,27,RW,R,W
126,20,TRAPEZNIKOVA Solomiya,UKR - Ukraine,273/27,282/13,555,23,29,RW,R,W
127,21,KASAK Bessi,EST - Estonia,275/23,279/18,554,24,26,RW,R,W
128,22,GOOSSENS Lenka,BEL - Belgium,279/19,274/23,553,23,29,RW,R,W
129,23,CAVIC Urska,SLO - Slovenia,274/25,276/21,550,23,28,RW,R,W
130,24,ROYER Manon,FRA - France,276/21,272/27,548,23,24,RW,R,W
131,25,LEVADE Marianne,FRA - France,274/26,273/26,547,18,32,RW,R,W
132,26,JANGNAS Erika,SWE - Sweden,275/22,271/31,546,22,26,RW,R,W
133,27,LEPRON Johanna,FRA - France,270/29,272/28,542,21,26,RW,R,W
134,28,BOTTE Louise,FRA - France,264/34,276/22,540,22,26,RW,R,W
135,29,MAUSSIERE Florence,FRA - France,266/31,274/25,540,21,21,RW,R,W
136,30,BLONDEL Elisa,FRA - France,266/32,272/29,538,18,26,RW,R,W
137,31,GALIEGT Mathilde,FRA - France,274/24,261/37,535,23,21,RW,R,W
138,32,FIALON Sandrine,FRA - France,263/35,271/30,534,23,20,RW,R,W
139,33,BROUSSE Aurélie,FRA - France,269/30,264/35,533,22,22,RW,R,W
140,34,TAJES GARCIA Magdalena,ESP - Spain,265/33,267/34,532,10,36,RW,R,W
141,35,LEBRETON Enora,FRA - France,260/36,260/39,520,14,22,RW,R,W
142,36,GAZTELU Jone,ESP - Spain,260/37,259/41,519,12,24,RW,R,W
143,37,BRUNET-PINEDE Severine,FRA - France,250/43,268/33,518,21,20,RW,R,W
144,38,PICHONNAZ Maxine,SUI - Switzerland,251/42,263/36,514,14,28,RW,R,W
145,39,LEGARRA Andrea,ESP - Spain,244/45,269/32,513,13,26,RW,R,W
146,40,JATIVA Gwladys,FRA - France,257/39,253/44,510,15,15,RW,R,W
147,41,PITARCH Maria,ESP - Spain,253/41,256/43,509,13,22,RW,R,W
148,42,VASSEUR Laurie,FRA - France,273/28,233/50,506,15,25,RW,R,W
149,43,FARRÉ PINILLA Maria Pilar,ESP - Spain,246/44,260/40,506,14,19,RW,R,W
150,44,REGENSBURGER Megan,USA - USA,243/46,261/38,504,17,19,RW,R,W
151,45,WIRTH Kelly,FRA - France,256/40,245/46,501,12,21,RW,R,W
152,46,VILLAUME Catherine,FRA - France,236/48,256/42,492,13,15,RW,R,W
153,47,CHEVRET Severine,FRA - France,235/49,249/45,484,11,20,RW,R,W
154,48,CAZAURAN Sara,FRA - France,259/38,222/52,481,8,28,RW,R,W
155,49,BLONDEL Romane,FRA - France,238/47,222/51,460,12,17,RW,R,W
156,50,ESPEU Nathalie,FRA - France,220/50,238/48,458,3,21,RW,R,W
157,51,DI BERNARDO Aurelie,FRA - France,216/51,241/47,457,10,18,RW,R,W
158,52,ARSLAN Busra,TUR - Turkey,214/52,237/49,451,8,19,RW,R,W
159,53,ALBA Anais,FRA - France,210/55,219/53,429,5,15,RW,R,W
160,54,ROUGIER-BILLY Margaux,FRA - France,213/53,206/54,419,14,8,RW,R,W
161,55,GARDAZ Chloe Kilensungla,SUI - Switzerland,187/56,188/55,375,6,9,RW,R,W
162,56,VORMITTAG Melanie,GER - Germany,181/57,184/56,365,7,9,RW,R,W
163,57,GBANE Fatou,CIV - Cote d Ivoire,211/54,94/57,305,4,7,RW,R,W
164,58,YEDAGNE Ekpobi Anne-Marie Eléonord,CIV - Cote d Ivoire,7/58,0,7,0,0,RW,R,W
165,1,SCHLOESSER Mike,NED - Netherlands,299/ 1,298/ 2,597,57,3,CM,C,M
166,2,HANSEN Stephan,DEN - Denmark,298/ 3,299/ 1,597,57,3,CM,C,M
167,3,FULLERTON Mathias,DEN - Denmark,299/ 1,298/ 2,597,57,3,CM,C,M
168,4,DAMSBO Martin,DEN - Denmark,297/ 6,298/ 2,595,55,5,CM,C,M
169,5,PAGNI Sergio,ITA - Italy,298/ 3,297/ 7,595,55,5,CM,C,M
170,6,BARAER Quentin,FRA - France,298/ 3,296/11,594,54,6,CM,C,M
171,7,WIENER Nico,AUT - Austria,296/ 9,298/ 2,594,54,6,CM,C,M
172,8,GIRARD Nicolas,FRA - France,297/ 6,296/11,593,53,7,CM,C,M
173,9,BOSANSKY Jozef,SVK - Slovakia,296/ 9,297/ 7,593,53,7,CM,C,M
174,10,BOULCH Jean Philippe,FRA - France,297/ 6,296/11,593,53,7,CM,C,M
175,11,BLAZQUEZ Alberto,ESP - Spain,294/15,298/ 2,592,52,8,CM,C,M
176,12,PAUNER Joan,FRA - France,295/13,296/11,591,51,9,CM,C,M
177,13,DELLA STUA Valerio,ITA - Italy,295/13,296/11,591,51,9,CM,C,M
178,14,BERG Christoffer,DEN - Denmark,294/15,297/ 7,591,51,9,CM,C,M
179,15,DELOBELLE Fabien,FRA - France,296/ 9,294/25,590,50,10,CM,C,M
180,16,KOOLS Reginald,BEL - Belgium,294/15,296/11,590,50,10,CM,C,M
181,17,MODIC Stas,SLO - Slovenia,294/15,296/11,590,50,10,CM,C,M
182,18,DELOCHE Pierre-Julien,FRA - France,294/15,296/11,590,50,10,CM,C,M
183,19,HEINCZ Stefan,AUT - Austria,294/15,295/22,589,49,11,CM,C,M
184,20,DUPUIS Anthony,FRA - France,293/25,296/11,589,49,11,CM,C,M
185,21,BUDEN Domagoj,CRO - Croatia,292/30,297/ 7,589,49,11,CM,C,M
186,22,POULSEN Joannes,FRO - Faroe Islands,293/25,295/22,588,48,12,CM,C,M
187,23,PATER Sil,NED - Netherlands,291/34,296/11,587,47,13,CM,C,M
188,24,DAULEU Ludovic,FRA - France,292/30,295/22,587,47,13,CM,C,M
189,25,FREDERICKX Brend,BEL - Belgium,294/15,293/28,587,47,13,CM,C,M
190,26,JORIS Gianni,BEL - Belgium,293/25,293/28,586,46,14,CM,C,M
191,27,CAROSATI Roberto,ITA - Italy,293/25,293/28,586,46,14,CM,C,M
192,28,RESSAR Evert,EST - Estonia,294/15,291/37,585,45,15,CM,C,M
193,29,CANALEJAS TEJERO Victor,SUI - Switzerland,294/15,290/47,584,44,16,CM,C,M
194,30,CADRONET Nathan,FRA - France,292/30,292/32,584,44,16,CM,C,M
195,31,ALBANESE Rémy,FRA - France,289/46,294/25,583,43,17,CM,C,M
196,32,JAATMA Robin,EST - Estonia,296/ 9,287/61,583,43,17,CM,C,M
197,33,DUFOUR Camille,FRA - France,294/15,289/49,583,43,17,CM,C,M
198,33,HOCEVAR Arnaud,LUX - Luxembourg,287/59,296/11,583,43,17,CM,C,M
199,35,ALVES Cláudio,POR - Portugal,290/37,292/32,582,42,18,CM,C,M
200,35,CLAPIÉ Sébastien,FRA - France,291/34,291/37,582,42,18,CM,C,M
201,35,KAND Caius,EST - Estonia,290/37,292/32,582,42,18,CM,C,M
202,35,SALAS Mathieu,FRA - France,288/51,294/25,582,42,18,CM,C,M
203,39,BURRUS Raphael,FRA - France,290/37,291/37,581,41,19,CM,C,M
204,39,LECAUCHOIS Morgan,FRA - France,290/37,291/37,581,41,19,CM,C,M
205,39,METREAU Jean-François,FRA - France,290/37,291/37,581,41,19,CM,C,M
206,39,THIEFFINE Julien,FRA - France,288/51,293/28,581,41,19,CM,C,M
207,43,CEREZO BERNET Javier,ESP - Spain,289/46,291/37,580,40,20,CM,C,M
208,43,GONTIER Adrien,FRA - France,289/46,291/37,580,40,20,CM,C,M
209,43,NIELSEN Martin K.,DEN - Denmark,288/51,292/32,580,40,20,CM,C,M
210,43,PARPILLON Julien,FRA - France,288/51,292/32,580,40,20,CM,C,M
211,47,CROSSIN Jimmy,FRA - France,293/25,286/64,579,39,21,CM,C,M
212,47,GALLAIS DUTRIEZ Alban,FRA - France,289/46,290/47,579,39,21,CM,C,M
213,47,SERIS Bastien,FRA - France,288/51,291/37,579,39,21,CM,C,M
214,47,VERWOERDT Max,NED - Netherlands,292/30,287/61,579,39,21,CM,C,M
215,51,FLEURINCK Mick,BEL - Belgium,289/44,289/49,578,39,20,CM,C,M
216,52,ETIENNE David,BEL - Belgium,290/37,288/54,578,38,22,CM,C,M
217,52,MAIONE Salvatore,ITA - Italy,287/59,291/37,578,38,22,CM,C,M
218,54,DESPHELIPON Gregory,FRA - France,289/44,288/54,577,38,21,CM,C,M
219,54,PLA BORT Eric,ESP - Spain,286/65,291/37,577,38,21,CM,C,M
220,56,BERNARD Mathieu,FRA - France,288/51,289/49,577,37,23,CM,C,M
221,56,LORTHIOIR Yann,FRA - France,288/51,289/49,577,37,23,CM,C,M
222,58,HOLGERSEN Mikkel,DEN - Denmark,287/59,289/49,576,36,24,CM,C,M
223,58,KENT Kristo,EST - Estonia,288/51,288/54,576,36,24,CM,C,M
224,60,CANITROT Joel,FRA - France,290/37,285/68,575,35,25,CM,C,M
225,61,RICART Jordi,ESP - Spain,286/66,288/54,574,34,26,CM,C,M
226,62,FAPPIANO Philippe,FRA - France,291/34,282/79,573,34,25,CM,C,M
227,62,REULE Jelle,NED - Netherlands,289/46,284/71,573,34,25,CM,C,M
228,64,BARET Benjamin,FRA - France,287/59,286/64,573,33,27,CM,C,M
229,64,CASIELLO Alessandro,ITA - Italy,285/70,288/54,573,33,27,CM,C,M
230,66,PAYET Stephane,FRA - France,284/72,288/54,572,32,28,CM,C,M
231,67,BOUTIN Laurent,FRA - France,287/59,284/72,571,31,29,CM,C,M
232,67,VAN DERCAMERE Maxime,FRA - France,287/59,284/72,571,31,29,CM,C,M
233,69,BABOU Eric,FRA - France,285/69,285/68,570,31,28,CM,C,M
234,70,BURIASCO Anthony,FRA - France,286/66,284/72,570,30,30,CM,C,M
235,70,DAGRADA Alessandro,ITA - Italy,282/78,288/54,570,30,30,CM,C,M
236,72,LUCOT Laurent,FRA - France,282/77,286/64,568,29,30,CM,C,M
237,73,BARREDO HERNANDEZ Juan Jose,ESP - Spain,286/66,282/81,568,28,32,CM,C,M
238,73,LAMBERT David,FRA - France,284/72,284/72,568,28,32,CM,C,M
239,73,SAUNIER François,FRA - France,281/81,287/61,568,28,32,CM,C,M
240,76,SIMON Alexandre,FRA - France,283/74,283/77,566,28,30,CM,C,M
241,77,PIRON Benjamin,FRA - France,284/71,282/81,566,27,32,CM,C,M
242,78,TURC Yann,FRA - France,281/81,285/68,566,26,34,CM,C,M
243,79,SERRANO PAJARO Victor,ESP - Spain,279/89,286/64,565,26,33,CM,C,M
244,80,GRAVESEN Christian,DEN - Denmark,281/81,284/72,565,25,35,CM,C,M
245,81,FÉLIX Nuno,POR - Portugal,282/78,282/81,564,24,36,CM,C,M
246,82,RAUL Hernandez,ESP - Spain,280/86,283/77,563,23,37,CM,C,M
247,83,ABBA Leonardo,ITA - Italy,282/78,280/88,562,22,38,CM,C,M
248,83,CALAUTTI Francesco,ITA - Italy,280/86,282/81,562,22,38,CM,C,M
249,85,SIMON Marc,FRA - France,278/91,282/79,560,22,36,CM,C,M
250,86,PENNETIER Tony,FRA - France,278/93,282/81,560,20,40,CM,C,M
251,87,BINOTTE Johann,FRA - France,279/88,280/87,559,22,35,CM,C,M
252,88,MATOS Ricardo,POR - Portugal,283/75,272/96,555,22,35,CM,C,M
253,89,FONTAINE Florian,FRA - France,278/90,277/90,555,19,37,CM,C,M
254,90,PUEO Laurent,FRA - France,280/84,275/94,555,18,39,CM,C,M
255,91,SERIS Julien,GER - Germany,278/91,275/93,553,18,37,CM,C,M
256,92,PLATEAU Nicolas,FRA - France,271/100,281/86,552,21,33,CM,C,M
257,93,IRACÀ Antonio,ITA - Italy,280/84,272/99,552,20,34,CM,C,M
258,94,JEREMY LESAFFRE Jeremy,FRA - France,274/96,276/92,550,18,35,CM,C,M
259,95,POP Razvan,LUX - Luxembourg,269/103,279/89,548,16,38,CM,C,M
260,96,CARISTO Claude,FRA - France,275/94,272/97,547,14,42,CM,C,M
261,97,GOULARD Fabian,FRA - France,268/105,277/91,545,16,41,CM,C,M
262,98,KUTTLER Sebastian,GER - Germany,272/99,272/100,544,9,47,CM,C,M
263,99,HALET Patrick,FRA - France,272/98,269/101,541,9,44,CM,C,M
264,100,RIVRAIS Bruno,FRA - France,266/107,273/95,539,13,38,CM,C,M
265,101,VANSPRENGEL Pieter,BEL - Belgium,272/97,266/103,538,15,39,CM,C,M
266,102,AUGER Emmanuel,FRA - France,270/102,267/102,537,11,38,CM,C,M
267,103,LORETAN Maël Fabien,SUI - Switzerland,270/101,266/105,536,11,35,CM,C,M
268,104,RUIZ Vincent,FRA - France,263/108,272/97,535,11,39,CM,C,M
269,105,DI PIERNO Pio,ITA - Italy,269/104,266/104,535,9,40,CM,C,M
270,106,SCARPELLINI Laurent,FRA - France,268/106,265/106,533,5,46,CM,C,M
271,107,UZUN Atilla,TUR - Turkey,274/95,254/108,528,11,37,CM,C,M
272,108,KIM Chang Hee,TUR - Turkey,257/109,263/107,520,11,38,CM,C,M
273,109,LOORENTS Reimo,EST - Estonia,214/110,182/109,396,0,17,CM,C,M
274,110,TORRÓ José,ESP - Spain,283/76,0,283,13,17,CM,C,M
275,1,GOGEL Jane Karla,BRA - Brazil,297/ 1,294/ 4,591,51,9,CW,C,W
276,2,PRIEELS Sarah,BEL - Belgium,295/ 2,295/ 1,590,50,10,CW,C,W
277,3,DE LAAT Sanne,NED - Netherlands,294/ 6,295/ 1,589,49,11,CW,C,W
278,4,DODEMONT Sophie,FRA - France,294/ 6,295/ 1,589,49,11,CW,C,W
279,5,MLINARIC Amanda,CRO - Croatia,295/ 2,294/ 4,589,49,11,CW,C,W
280,6,JAATMA Lisell,EST - Estonia,295/ 2,293/ 7,588,48,12,CW,C,W
281,7,PAAS Meeri-Marita,EST - Estonia,295/ 2,291/ 9,586,46,14,CW,C,W
282,8,SARGEANT Bayley,GBR - Great Britain,289/12,294/ 4,583,43,17,CW,C,W
283,9,HERVE Sandra,FRA - France,293/ 8,290/12,583,43,17,CW,C,W
284,10,YAREMENKO Nadiia,UKR - Ukraine,289/12,292/ 8,581,41,19,CW,C,W
285,11,GRANDJEAN Lola,FRA - France,289/12,291/ 9,580,40,20,CW,C,W
286,12,GIRARD Marion,FRA - France,292/ 9,287/16,579,39,21,CW,C,W
287,13,SHKOLNA Mariya,LUX - Luxembourg,291/10,287/16,578,38,22,CW,C,W
288,14,EYMARD Anais,FRA - France,287/17,289/14,576,36,24,CW,C,W
289,15,DEBAIG Isabelle,FRA - France,285/20,291/ 9,576,36,24,CW,C,W
290,16,TETSMANN Maris,EST - Estonia,287/17,287/16,574,34,26,CW,C,W
291,17,FRAIGNEAU Clémence,FRA - France,290/11,284/22,574,34,26,CW,C,W
292,18,DE SOUSA Giselle,POR - Portugal,283/24,290/12,573,33,27,CW,C,W
293,19,STAS-COUWENBERG Martine,NED - Netherlands,288/16,285/21,573,33,27,CW,C,W
294,20,KACZMARECK Elodie,FRA - France,285/20,285/20,570,31,28,CW,C,W
295,21,HASLER Myriam,SUI - Switzerland,284/23,286/19,570,30,30,CW,C,W
296,22,RENAUDIN Tiphaine,FRA - France,289/12,280/28,569,41,17,CW,C,W
297,23,CHUPIN Julie,FRA - France,280/28,289/14,569,29,31,CW,C,W
298,24,GALVEZ Elodie,FRA - France,283/24,284/22,567,27,33,CW,C,W
299,25,PEREIRA Rita,POR - Portugal,286/19,280/29,566,28,30,CW,C,W
300,26,JOUVE Jocelyne,FRA - France,285/20,280/30,565,25,35,CW,C,W
301,27,LECOINTRE Laurie,FRA - France,280/28,284/22,564,24,36,CW,C,W
302,28,KIENER Audrey,FRA - France,281/27,282/26,563,26,31,CW,C,W
303,29,BARBARA Miranda Suarez,ESP - Spain,282/26,278/32,560,20,40,CW,C,W
304,30,GABRION Agathe,FRA - France,274/38,283/25,557,20,37,CW,C,W
305,31,MERLIN Stefania,LUX - Luxembourg,275/36,282/27,557,18,41,CW,C,W
306,32,TRUTEAU Eglantine,FRA - France,277/32,279/31,556,17,42,CW,C,W
307,33,VAN DER VEN Inge,NED - Netherlands,278/30,276/33,554,17,40,CW,C,W
308,34,LARCIN Magalie,BEL - Belgium,277/32,274/34,551,18,36,CW,C,W
309,35,CELERAULT Marine,FRA - France,277/32,272/38,549,15,40,CW,C,W
310,36,MOULET Célia,FRA - France,278/30,271/41,549,15,39,CW,C,W
311,37,LIPPAND Hanna Liina,EST - Estonia,275/35,273/36,548,14,40,CW,C,W
312,38,BOCINA Francesca,ITA - Italy,273/39,274/34,547,13,41,CW,C,W
313,39,COURTOT Aurelie,FRA - France,274/37,271/39,545,16,33,CW,C,W
314,40,CAMBI Simona,ITA - Italy,271/41,272/37,543,11,41,CW,C,W
315,41,CETIN Gulay,TUR - Turkey,272/40,270/42,542,8,47,CW,C,W
