,Category Rank,Athlete,Country,18m-1,18m-2,Score,10,9,Event,Division,Class
0,1,WIESER Felix,GER - Germany,296/ 3,300/ 1,596,56,4,RM,R,M
1,2,REMAR Alen,CRO - Croatia,298/ 1,297/ 3,595,55,5,RM,R,M
2,3,WIJLER Steve,NED - Netherlands,297/ 2,297/ 3,594,54,6,RM,R,M
3,4,MUSOLESI Federico,ITA - Italy,296/ 3,296/ 5,592,52,8,RM,R,M
4,5,DE SMEDT Jarno,BEL - Belgium,291/19,299/ 2,590,29,1,RM,R,M
5,6,JACQUEY Clement,FRA - France,296/ 3,293/ 9,589,49,11,RM,R,M
6,7,ARNEZ Luka,SLO - Slovenia,294/ 8,295/ 6,589,49,11,RM,R,M
7,8,BARITEAUD Iban,FRA - France,295/ 7,292/12,587,50,7,RM,R,M
8,9,BAKKER Willem,NED - Netherlands,296/ 3,291/15,587,48,11,RM,R,M
9,10,FICHET Romain,FRA - France,291/16,295/ 6,586,46,14,RM,R,M
10,11,WILTHAGEN Jonah,NED - Netherlands,292/14,293/ 9,585,45,15,RM,R,M
11,12,MANDIA Massimiliano,ITA - Italy,289/26,294/ 8,583,45,14,RM,R,M
12,13,VALLADONT Jean-Charles,FRA - France,294/ 8,289/19,583,44,15,RM,R,M
13,14,PLIHON Pierre,FRA - France,291/16,292/14,583,43,17,RM,R,M
14,15,FISSORE Matteo,ITA - Italy,294/ 8,288/25,582,44,15,RM,R,M
15,16,VAUTRIN Jules,FRA - France,291/16,291/15,582,43,16,RM,R,M
16,17,RAVNIKAR Ziga,SLO - Slovenia,289/25,292/11,581,47,10,RM,R,M
17,18,ROZIC Miha,SLO - Slovenia,292/13,289/19,581,44,13,RM,R,M
18,19,HABJAN MALAVASIC Den,SLO - Slovenia,293/12,288/28,581,41,19,RM,R,M
19,20,BROEKSMA Gijs,NED - Netherlands,293/11,287/29,580,45,12,RM,R,M
20,21,CERNI Lovro,CRO - Croatia,290/21,290/18,580,41,18,RM,R,M
21,22,HERLICQ Sam,FRA - France,291/15,288/27,579,41,17,RM,R,M
22,23,BARBIER Anthony,FRA - France,290/20,289/24,579,41,17,RM,R,M
23,24,VAN DER VEN Rick,NED - Netherlands,290/21,288/26,578,41,16,RM,R,M
24,25,DE GRANDIS Jocelyn,FRA - France,288/30,289/19,577,40,17,RM,R,M
25,26,MORELLO Marco,ITA - Italy,289/27,287/31,576,38,20,RM,R,M
26,27,PIKE William,FRA - France,290/21,285/37,575,37,21,RM,R,M
27,28,GUTHERTZ Maxence,FRA - France,287/32,287/30,574,38,18,RM,R,M
28,29,PASQUALUCCI David,ITA - Italy,288/30,285/34,573,39,17,RM,R,M
29,30,PODKRAJŠEK Sergej,SLO - Slovenia,289/28,284/39,573,39,17,RM,R,M
30,31,HANULIAK Jan Jakub,SVK - Slovakia,289/28,284/40,573,36,21,RM,R,M
31,32,MULOT Florent,FRA - France,283/37,289/19,572,42,16,RM,R,M
32,33,KLEIN Pit,LUX - Luxembourg,281/44,291/15,572,36,20,RM,R,M
33,34,CHENEAU Emilien,FRA - France,279/48,292/13,571,42,15,RM,R,M
34,35,BREITBACH Christoph,GER - Germany,285/34,286/32,571,37,18,RM,R,M
35,36,DANIEL Lucas,FRA - France,284/35,285/36,569,36,19,RM,R,M
36,37,ANTOINE Thomas,FRA - France,290/21,278/53,568,38,20,RM,R,M
37,38,LE BARS Antoine,FRA - France,283/38,285/37,568,34,21,RM,R,M
38,39,BIDAULT Jerome,FRA - France,278/51,289/19,567,37,15,RM,R,M
39,40,BLANDIN Thomas,FRA - France,286/33,281/47,567,34,20,RM,R,M
40,41,BRYNNING Rasmus,DEN - Denmark,283/39,284/40,567,32,23,RM,R,M
41,42,LEFEBVRE Anthony,FRA - France,281/46,286/32,567,30,27,RM,R,M
42,43,THIRION Lou,FRA - France,281/44,282/43,563,31,23,RM,R,M
43,44,RAIMBAULT Vincent,FRA - France,279/49,281/48,560,30,22,RM,R,M
44,45,LELLOUCHE Maxime,FRA - France,274/58,285/35,559,34,20,RM,R,M
45,46,FAUDEMER Leo,FRA - France,282/41,277/56,559,26,28,RM,R,M
